country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
Belgium,UCLouvain,Master [120] in Business Engineering,180,yes,"Specific access requirements for holders of a non-Belgian university degree (LSM PDF, 2025-26): ""Hold a first cycle university degree (= Bachelor's degree of minimum 180 ECTS-three years of study) in Business and Administration, or equivalent, issued by a recognized academic institution."" Subject minima inside that bachelor: 25 ECTS in Business and Administration; 25 ECTS in Social and behavioural science and law and economics; 30 ECTS in Science (maths/statistics, computer science, physical/life sciences all count). WARNING: ""Professional degrees are not accepted even when they are delivered by a recognized academic institution"", and the awarding institution must be recognised by UNESCO/WHED or AUF AND the degree must already give access to a management master in its home system - both are live risks for a private Tunisian school. GMAT 550 / GMAT Focus 525 / GRE 155 quant compulsory; TOEFL iBT 89 or IELTS 6.5; UCLouvain general rule additionally requires French at B2. Route is ""Access based on application: access may be granted either directly or on the condition of completing additional courses of a maximum of 60 ECTS credits, or refused.""",https://cdn.uclouvain.be/cdn-osis/ppe/2025/lsm/documents/Conditions%20acces%20Mons/M120%20Ingenieur%20de%20gestion%20JOUR%20hors%20diplome%20belge%20Conditions%20d%20acces%20specifiques%2025%2026.pdf
Belgium,Universite libre de Bruxelles (ULB),Master in Business engineering,180,conditional,"Access conditions, point C (admission on dossier, decision by jury): ""Admission granted, under the general conditions laid down by the academic authorities, to the holder of a qualification, diploma, degree or certificate awarded outside the French-Speaking Community or awarded abroad if the qualification ... attests to the successful completion of studies and the jury considers them to be worth at least 180 credits. The jury may impose a programme worth a maximum of 60 credits in addition to the Master's programme."" Jury criteria for this master: ""Min 20 ECTS acquired in quantitative methods (mathematics, statistics and econometrics, programming)""; ""Min 12 ECTS acquired in science and technology""; ""ECTS grade of B or higher""; ""GMAT compulsory for holders of non EU BA degrees""; ""Mastery of the French language (written and spoken, level C1)"". The 180 is a jury valuation, not an automatic recognition of the Tunisian Licence.",https://www.ulb.be/en/programme/ma-inge
Belgium,Ghent University,Master of Science in Business Engineering - main subject Data Analytics,"180 (stated as ""bachelor of minimum 3 years"")",conditional,"Programme eligibility page: applicants need a bachelor equivalent to UGent's BSc Business Engineering, which is defined as six mandatory learning paths totalling 157 ECTS / 4,710 study hours: business economics & economics 63 ECTS, quantitative 15 ECTS, methodological 22 ECTS, technical & technological 21 ECTS, operations & information management 18 ECTS, informatics 18 ECTS. ""In case these learning paths are not all present in the candidate's educational background, the committee will decide if admission to the preparatory programme for international students is possible."" BRIDGING RISK: a Tunisian BI Licence will almost certainly lack the technical & technological path, so the preparatory programme is the realistic route (UGent general rule: preparatory/linking course of 45-90 ECTS). GMAT or GRE is MANDATORY for non-EEA applicants (""Non-EEA applicants who fail to submit a GMAT or GRE test score, will not be considered for academic admission""): GMAT 600 total / 49 quant, GMAT Focus 565 / 81 quant, or GRE 162 quant + 152 verbal. The 3-year floor comes from the UGent general master admission page (""bachelor of minimum 3 years""), https://www.ugent.be/prospect/en/administration/application/requirement/master.htm - the programme page itself states no total credit figure.",https://www.ugent.be/eb/en/study-programmes/master-in-business-engineering/eligibility.htm
Belgium,KU Leuven,Master of Business Engineering (Leuven),NOT_FOUND,conditional,"No total credit floor is published on the admission-requirements page. Diploma requirement: ""The Master of Business Engineering programme is intended for holders of: - an academic Bachelor's degree with a strong quantitative (and technological) focus and with sufficient knowledge of economics and management science; or - an academic Bachelor's degree in (business) economics with a substantial quantitative (and technological) component."" Subject minima: ""economics and business (min. 36 ECTS); quantitative methods, technology and sciences (min. 45 ECTS credits) and ICT (including programming) (min. 6 ECTS credits)."" Applicants must submit a course description of all relevant courses. GMAT 620 (Focus 585) or GRE 165 quant / 154 verbal required unless the prior university is THE/QS top 200. IELTS 7.0 / TOEFL 94. BRIDGING RISK: the fallback preparatory programme (Voorbereidingsprogramma Master handelsingenieur) is a DUTCH-language programme, so it is not a usable route for a non-Dutch-speaking applicant. Note: other KU Leuven programmes publish a 180-credit / 3-year minimum, but this programme page does not, so no number is recorded here.",https://onderwijsaanbod.kuleuven.be/opleidingen/e/SC_53419709/toelatingsvoorwaarden
Netherlands,Tilburg University,MSc Marketing Analytics,NOT_FOUND,conditional,"No total credit floor published; requirement is expressed purely as subject credits. ""You must have a solid academic foundation in the following areas to qualify for the Master's in Marketing Analytics program: Mathematics, Statistics and Programming (18 ECTS); Economics (12 ECTS); Management (12 ECTS); Marketing and more specifically the courses Marketing, Marketing Research, and Consumer Behavior (12 ECTS); Academic training (24 ECTS)."" ""Note that these requirements are indicative, the final assessment lies with the Admissions Committee. The Admissions Committee will also automatically consider your application for a pre-Master's program to rectify deficiencies (of maximally 30 ECTS)."" GMAT Focus 525 or converted GRE is compulsory. The 12 ECTS of specifically Marketing / Marketing Research / Consumer Behavior is the likeliest gap for a Business Intelligence graduate and would trigger the pre-Master.",https://www.tilburguniversity.edu/education/masters-programs/marketing-analytics/application
Netherlands,Tilburg University,MSc Business Analytics and Operations Research,NOT_FOUND,conditional,"No credit floor published. ""A Bachelor's degree in Econometrics and Operations Research or similar discipline from a university recognized by the Admissions Committee."" ""We require you to have a solid academic background in mathematics and probability theory"" - benchmarked against Bain & Engelhardt (Introduction to Probability and Mathematical Statistics), Trench (Introduction to Real Analysis) and Lay (Linear Algebra and its Applications). ""Our Admissions Committee may give you the opportunity to rectify deficiencies (max. 36 ECTS) during a pre-Master's program."" GRE with minimum 160 on the quantitative part is compulsory. BRIDGING RISK: this is the most mathematically demanding programme on the list; a BI Licence is very unlikely to reach real-analysis/measure-level probability, so a pre-Master of up to 36 ECTS is the probable outcome.",https://www.tilburguniversity.edu/education/masters-programs/business-analytics-and-operations-research/application
Netherlands,Maastricht University,MSc Business Intelligence and Smart Services,NOT_FOUND,conditional,"No credit floor or year requirement published. For the applicant's category: ""If you are an international student with a bachelor's diploma from an international university or university of applied sciences, you are eligible for admission."" Requirements are documentary and test-based rather than credit-based: ""Description of your statistics courses - Upload a separate document in which you list all relevant statistics courses you followed in your bachelor's programme. Indicate the name(s) of the course(s), the number of credits you received, and a short course description ... If you did not have any statistics in your bachelor's programme, please indicate this as well."" Plus ""Proof of academic capabilities"": GMAT 515+ (auto-admission at 595+), old GMAT 550+ with AWA 4.0 (auto-admission at 650+), or GRE per the SBE table. The portfolio alternative to GMAT/GRE is available ONLY to applicants from AACSB/EQUIS-accredited institutions - if Esprit is not accredited, the GMAT/GRE is unavoidable. A separate 30 ECTS pre-master's in BISS exists (February start).",https://www.maastrichtuniversity.nl/education/master/programmes/business-intelligence-and-smart-services/admission-requirements
Netherlands,University of Amsterdam,MSc Data Science and Business Analytics - Business Analytics track,NOT_FOUND,conditional,"No credit floor published. ""You can apply if you have an academic Bachelor's or Master's degree in Business Analytics, Econometrics or a closely related discipline."" Proven advanced-level knowledge required in: probability and mathematical statistics, linear algebra, calculus/analysis, data science and programming skills, operations research and optimization, econometrics. Explicit exclusion: ""A Bachelor's degree from a University of Applied Sciences will not be taken into consideration"" - so the decisive question is whether a Tunisian Licence from a private business school is assessed as academic (WO) rather than applied. Selection on GPA plus GRE quantitative min. 155 (preferably 158) or GMAT Focus 585. A Pre-Master's exists but the page frames it for holders of an academic (WO) Bachelor's and mentions EU citizens with non-EU diplomas - eligibility for a Tunisian national is AMBIGUOUS and should be confirmed with the admissions office. The Business Analytics track uses this same shared entry-requirements page.",https://www.uva.nl/en/programmes/masters/data-science-and-business-analytics/application-and-admission/students-with-international-prior-education/international-applicants.html
Netherlands,"Tilburg University and Eindhoven University of Technology (Jheronimus Academy of Data Science, JADS)",Data Science in Business and Entrepreneurship (joint degree),NOT_FOUND,conditional,"No total credit floor; requirement is a subject-credit floor plus a level assessment. For an international diploma evaluated as a research-oriented (WO) bachelor, direct eligibility requires: ""A minimum of 15 EC in mathematics and statistics, which includes at least 5 EC in mathematics and 5 EC in statistics"" AND courses in Databases, Data Structures and Algorithms, Programming (at least one language, preferably Python), and Machine Learning / Data Mining. If only the 15 EC maths/stats is present, ""you are only eligible if (i) you either have followed the equivalent of the pre-Master courses within your curriculum or (ii) after completing the pre-Master itself at JADS"" - i.e. a bridging year. Diplomas evaluated at HBO level need a Computer Science bachelor and go via the pre-Master. Level warning quoted from the page: ""in some cases having a university diploma in your country; it might not be sufficient for having access to a university program in the Netherlands.""",https://www.tilburguniversity.edu/education/masters-programmes/data-science-business-and-entrepreneurship/application
Netherlands,Tilburg University,MSc Data Science and Society,NOT_FOUND,conditional,"No credit floor of any kind published; eligibility is ""determined primarily by the field of study (major) of your previous program(s)"" and is track-specific (Health / Governance / Media / Business). Relevant fields for the Business track: ""Business Administration, Economics, Finance & Control, Human Resource Management, and Organization Studies"". ""One of the criteria the Admissions Committee assesses applications by, is sufficient prior knowledge in the field of methods and techniques of research (statistics, methodology). If prior knowledge in this field is considered insufficient, the Committee may either reject the application or propose a pre-Master's program."" COUNTER-INDICATION for this applicant: ""The program is designed for students who completed a non-technical program ... The program is not a good fit for students who have completed a program in which data science techniques have already been extensively covered. A mismatch in that regard may result in rejection of the application."" A Business Intelligence degree may be rejected for being too technical, which is the opposite of the usual failure mode.",https://www.tilburguniversity.edu/education/masters-programs/data-science-and-society/application
Netherlands,Erasmus University Rotterdam,MScBA Business Analytics & Management,NOT_FOUND,conditional,"No credit floor published; the requirement is comparability, assessed individually. ""In order to be eligible for this master programme, you need to hold (or be working towards) a bachelor degree or an undergraduate degree that is comparable in level with an academic bachelor degree obtained at a Dutch research university (WO)."" Plus: ""As most RSM MSc programmes do not contain introductory courses to the main subject of the master ... applicants are required to have taken a sufficient number of relevant courses during their previous studies. ... Work experience or professional certificates, such as the CFA, cannot be used to compensate for the lack of relevant courses."" Also a sufficient GMAT and/or GPA, and English at C1. AMBIGUITY FLAGGED: RSM publishes binding per-country degree requirements only through an interactive country/programme filter at https://www.rsm.nl/education/master/msc-programmes/admission-requirements/ which renders its results client-side; the Tunisia-specific entry could not be retrieved and remains UNVERIFIED. RSM also states that requirements for September 2027 entry ""are currently being updated and will be finalised by 1 October 2026."" A premaster route exists.",https://www.eur.nl/en/master/business-analytics-management/admission
Netherlands,TIAS School for Business and Society,Full-time Master in Management/Business Administration (MScBA) - Business Analytics Track,NOT_FOUND,conditional,"No credit or year figure published. Stated requirements: ""At least a Bachelor's degree (Research University or University of Applied Sciences)"" - notably an HBO/applied-sciences bachelor is explicitly acceptable, which is unusually permissive for this list; ""An average (GPA) of 3.0 out of 4.0 or 7 out of 10, or an overall average of 80 from 100%""; ""You must take the TIAS Capacity Test (TCT - free, online test available in multiple languages) or the GMAT""; IELTS 6.5 / TOEFL 90 / Cambridge C1 unless the bachelor was taught fully in English; ""Work experience is not required for this master."" Bridging is modular rather than a full year: ""Depending on your bachelor background and test results, you may be required to attend all or one of the preparatory courses"" - Academic Writing Skills (EUR600), Basic Accounting and Finance (EUR400), Quantitative Methods (EUR400) - ""The recommended courses must be completed before the start of master."" An admissions interview with a member of the Admissions Board is part of the process.",https://www.tias.edu/en/courses/full-time-master-in-managementbusiness-administration-mscba-13453/apply
