country,institution,programme_name_exact,degree_awarded,ects,programme_url,current_accepts_3yr
France,IESEG School of Management,Master in AI & Data Analytics for Business,"State-recognised Grade de Master via the DESMI (Diplome d'Etudes Specialisees en Management International), registered RNCP41034 - not a Mastere Specialise",120,https://www.ieseg.fr/en/programs/masters-science/msc-big-data/,NOT_FOUND
France,Ecole Polytechnique (Institut Polytechnique de Paris) and HEC Paris,Master of Science Data Science & AI for Business (X-HEC),"Master of Science and Technology (MSc&T) - diplome conferant le grade de master, inscrit au RNCP niveau 7 (bac+5), per ONISEP; joint degree Ecole Polytechnique / HEC Paris",140,https://www.hec.edu/en/master-s-programs/master-science-data-science-ai-business-x-hec,NOT_FOUND
France,Universite Paris Dauphine-PSL,"Master Systemes d'information, Reseaux et Numerique (M2 parcours Big Data et Digital Economy)","Diplome de grand etablissement conferant le grade de Master, delivered by Universite PSL",120,https://dauphine.psl.eu/formations/masters/systemes-information-reseaux-et-numerique/m2-big-data-et-digital-economy,NOT_FOUND
Germany,University of Cologne,Business Analytics & Econometrics,Master of Science (M.Sc.),120,https://wiso.uni-koeln.de/en/studies/master/master-business-analytics-econometrics,NOT_FOUND
Germany,University of Muenster,Information Systems,Master of Science (M.Sc.),120,https://www.wi.uni-muenster.de/prospective-students/our-courses-study/master-science-information-systems,NOT_FOUND
Germany,ESMT Berlin,Master's in Analytics and Artificial Intelligence,Master of Science (M.Sc.),120,https://esmt.berlin/master-programs/master-analytics-artificial-intelligence,NOT_FOUND
Liechtenstein,University of Liechtenstein,MSc Information Systems,Master of Science (MSc),120,https://www.uni.li/en/studies/study-programmes/msc-information-systems,NOT_FOUND
Portugal,Catolica-Lisbon School of Business and Economics - Universidade Catolica Portuguesa,MSc in Business Analytics,Mestrado / Master of Science - Portuguese second-cycle degree,120,https://www.clsbe.lisboa.ucp.pt/master-science-business-analytics/overview,NOT_FOUND
Portugal,Nova School of Business and Economics (Nova SBE) - Universidade NOVA de Lisboa,Master's in Business Analytics,Mestrado - Portuguese second-cycle master's degree,90,https://www.novasbe.unl.pt/en/programs/masters/business-analytics,NOT_FOUND
Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,Master of Science in Management specialization in Business Analytics,"Master Universitari en Ciencies Empresarials / Master of Science in Management - official UPF degree, plus a UPF-BSM completion certificate",60,https://www.bsm.upf.edu/en/master-science-management-business-analytics,NOT_FOUND
Spain,Esade Business School - Universitat Ramon Llull,Master of Science in Business Analytics,Master Universitari Oficial in Business Analytics awarded by Universitat Ramon Llull (confirmed on the Generalitat de Catalunya official degree register),60,https://www.esade.edu/master-of-science/en/program/masters-in-business-analytics,NOT_FOUND
Spain,IE University - IE School of Science and Technology,Master in Business Analytics and Data Science,"Master Universitario Oficial en Analitica de Negocio / Master in Business Analytics (official state degree, BOE-A-2021-20309), awarded together with an IE University titulo propio in Data Science",60,https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/,yes
Switzerland,University of Geneva,Master of Science in Business Analytics,Master of Science (MSc),120,https://www.unige.ch/gsem/en/programs/masters/business-analytics,NOT_FOUND
Germany,TH Koeln (Cologne Game Lab),Digital Games,Master of Arts (M.A.),90,https://www.th-koeln.de/en/academics/digital-games-masters-program_51470.php,NOT_FOUND
Germany,SRH University (formerly SRH Berlin University of Applied Sciences),"M.A. Film, Television and Digital Narratives",Master of Arts,120,https://www.srh-university.de/en/master/film-television-digital-narratives/v/,conditional
Germany,Macromedia University of Applied Sciences,Digital Media Business,Master of Arts (M.A.),NOT_FOUND,https://www.macromedia-fachhochschule.de/en/master/digital-media-business/,NOT_FOUND
Germany,Filmuniversitaet Babelsberg KONRAD WOLF,Creative Technologies,Master of Arts (M.A.),120,https://www.filmuniversitaet.de/en/studies/study-programs/master-programs/creative-technologies/,NOT_FOUND
Germany,Bauhaus-Universitaet Weimar,Computer Science for Digital Media,Master of Science (M.Sc.),120,https://www.uni-weimar.de/en/media/studies/computer-science-for-digital-media-msc,NOT_FOUND
Spain,IE University - IE Business School,"Master in Creative Direction, Content & Branding","Master Universitario Oficial en Creacion y Gestion de Medios Visuales / Visual Media: Creation and Management (official state degree, BOE-A-2014-9664)",60,https://www.ie.edu/business-school/programs/masters/master-in-creative-direction-content-branding/,yes
Switzerland,"HEAD - Geneve, Haute ecole d'art et de design (HES-SO)",Master en Media Design,Master of Arts HES-SO en Design avec orientation en Media Design,120,https://www.hesge.ch/head/formations-recherche/master-en-media-design,NOT_FOUND
Switzerland,Zurcher Hochschule der Kunste (ZHdK),"MA Design, Major Interaction Design",Master of Arts in Design,120,https://www.zhdk.ch/en/degree-programmes/design/ma-design-interaction-design,conditional
Switzerland,ECAL - Ecole cantonale d'art de Lausanne,Master Digital Experience Design,Master of Arts HES-SO in Design with specialization in Digital Experience Design,120,https://ecal.ch/en/courses-and-research/master/digital-experience-design/,NOT_FOUND
Switzerland,ECAL and HEAD - Geneve (HES-SO),Master Film Studies ECAL-HEAD,"Master of Arts HES-SO in Film, major in Direction, Scenario, Editing, Sound or Production",120,https://ecal.ch/en/courses-and-research/master/film-studies/,NOT_FOUND
