country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
Croatia,Algebra Bernays University,Data Science,180,yes,"Official eligibility page: ""The right to enrol have: Applicants who have completed a professional or university undergraduate study programme in the field of technical, natural and social science and have obtained 180 or more ECTS credits""; also holders of sub-3-year higher vocational (cro. visa strucna sprema, VSS) qualifications with a title equivalent to baccalaureus. FIELD, NOT TOTAL, IS THE BINDING CONSTRAINT: ""Exceptionally, the right to enrol may be granted to applicants who have previously completed a study of an appropriate level that is not from the specified fields, with the mandatory completion of a preparatory programme""; and ""Applicants who have not previously completed studies in the field of technical sciences, computer science or social sciences may be required to take a preparatory programme... as a rule, must do so before enrolling... The price of the preparatory programme is not included in the annual tuition fee but is charged additionally."" No per-subject ECTS quantities are published - the preparatory obligation is decided by document review plus an interview that also assesses grades and English. No recency rule published. NOTE stručni/sveučilišni: this is a PROFESSIONAL graduate programme (title mag. ing. comp.), and professional as well as university undergraduate degrees are explicitly accepted.",https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/data-science/useful-information/eligibility/
Croatia,Algebra Bernays University,Digital Marketing,180,yes,"Official eligibility page: ""The right to enrol have: Applicants who have completed a professional or university undergraduate study programme in the field of social, natural or technical sciences and have obtained 180 or more ECTS credits""; also sub-3-year higher vocational (VSS) qualifications with a baccalaureus-equivalent title. Applicants from outside those fields may be admitted exceptionally with a mandatory preparatory programme; ""Applicants who have not previously completed studies in the field of technical sciences, computer science or social sciences may be required to take a preparatory programme"" (charged separately from tuition, normally completed before enrolment). No per-subject ECTS quantities published. No recency rule published.",https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/digital-marketing/useful-information/eligibility/
Croatia,Algebra Bernays University,Economics of Digital Business,180,yes,"Official eligibility page, ""Formal Enrollment Requirements for the graduate programme"": ""Applicants must hold any three-year bachelor's degree equivalent to 180 ECTS credits."" SUBJECT COMPOSITION RULE (directly relevant to a Business Intelligence licence): ""If the degree is in the field of Economy, no further qualifications are required. If the degree is in any other field but the student has successfully completed at least a few basic economics courses, no further qualifications are required. If such basic economics courses have not been completed, we will prepare an individual preparatory program (typically a few additional FREE fully online courses in basic economics...)."" No minimum ECTS is attached to the ""basic economics courses"" requirement - it is assessed by document review plus interview. Preparatory courses are free here and may be taken after enrolment/while awaiting a visa. No recency rule published.",https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/economics-of-digital-business/useful-information/eligibility/
Hungary,Corvinus University of Budapest,Business Informatics,NOT_FOUND,conditional,"No total prior-ECTS floor is published (a bachelor degree is required; holders of a foreign bachelor MUST undergo the credit recognition procedure). The binding constraint is SUBJECT CREDITS, from the official 2026 credit-recognition table (""honnan-hova tabla""): ""The minimum number of credits required for admission to the Master's programme is 70 ECTS credits"" in - Natural Sciences (Analysis, Probability Theory, Statistics, Operations Research, Mathematics, Informatics) 10 ECTS; - Business and Human Resource Management (Economics, Business Economics, Finance, Law, EU Studies, Management, Management and Decision Making) 20 ECTS; - Informatics (IT Architectures, Operational Systems, IT Networks, Programming Theory, Programming Languages, Programme Design, Database Handling, IR Architectures, Quality Assurance, Integrated Development Tools, Development Support, IT Audit, Integrated Business Management Systems, Special Applications) 40 ECTS. ADMISSION FLOOR: ""To be admitted to the Master's programme, you must have at least 40 ECTS credits in the listed subject areas"" (full requirement 70). Missing credits must be acquired during the MSc. Separate rule for a Computer Science Operational Engineering bachelor: at least 60 ECTS (Natural Sciences 10 / Business and HR Management 20 / Informatics 30), to be acquired within 2 active semesters after admission. No recency rule found. AMBIGUITY: a Business Intelligence licence from a business school is likely short on the 40 ECTS Informatics block - the transcript must be audited against the named informatics course list.",https://www.uni-corvinus.hu/downloads/cpon.15z9p5u/honnan-hova-tabla-2026-intezmenyi-2026-01-15-1.pdf
Hungary,Corvinus University of Budapest,Artificial Intelligence in Business,NOT_FOUND,conditional,"No total prior-ECTS floor published; bachelor degree required and the credit recognition procedure is MANDATORY for holders of a foreign bachelor degree. Official 2026 credit-recognition table: ""The minimum number of credits required for admission to the Master's programme is 36 ECTS credits, acquired during previous studies or work experience... in the following areas: - Methodology (including courses in applied methods: Analysis, Linear Algebra, Probability, Statistics): 12 ECTS credits (maximum 6 ECTS credits of which can be acquired through catch up courses); - Programming skills (knowledge of any programming language, in particular Python or R): 12 ECTS credits (maximum 6 ECTS credits of which can be acquired through catch up courses); - Knowledge of economics (Business Economics, Accounting, Finance, Marketing, Management and Organization): 12 ECTS credits (12 ECTS credits of which can be acquired through catch up courses). To be admitted to the Master's programme, applicants must have 24 ECTS credits in the listed subject areas."" So 24 ECTS is the hard entry floor, 36 ECTS the full requirement; at most 6+6+12 = 24 may be made up by catch-up courses. Admission also involves an in-house written examination. This programme does not appear in the 2025 version of the table (new for September 2026 intake). No recency rule found.",https://www.uni-corvinus.hu/downloads/cpon.15z9p5u/honnan-hova-tabla-2026-intezmenyi-2026-01-15-1.pdf
Hungary,Corvinus University of Budapest,Social Data Science,NOT_FOUND,conditional,"No total prior-ECTS floor published; bachelor degree required, credit recognition procedure MANDATORY for a foreign bachelor. Official 2026 credit-recognition table (identical wording in the 2025 table): ""The minimum number of credits required for admission to the Master's programme is 36 ECTS credits... - Methodology (including courses in applied methods: Analysis, Linear Algebra, Matrix Algebra, Probability, Statistics): 12 ECTS credits (cannot be acquired through catch up courses); - Programming skills (knowledge of any programming language, in particular Python or R): 12 ECTS credits (cannot be acquired through catch up courses); - Knowledge of economics or social sciences (Economics, Sociology, Political Science): 12 ECTS credits (6 ECTS credits of which can be acquired through catch up courses). To be admitted to the Master's programme, applicants must have 30 ECTS credits in the listed subject areas."" HARD BLOCK: the 12 ECTS Methodology and 12 ECTS Programming credits CANNOT be made up by catch-up courses - they must already be on the transcript. The 2025 table states the same split as 12/12/6 = 30 ECTS at entry. No recency rule found.",https://www.uni-corvinus.hu/downloads/cpon.15z9p5u/honnan-hova-tabla-2026-intezmenyi-2026-01-15-1.pdf
Moldova,Technical University of Moldova,"Master's degree, Data Science",NOT_FOUND,conditional,"No prior-ECTS floor is published. UTM International admission rules require, for 2nd-cycle (master's) enrolment, only ""the copy and legalized translation of the bachelor's degree and the supplement to the degree or the equivalents of these documents"" (apostilled/supra-legalised, translated), plus a 100 EUR admission fee and a Ministry of Education and Research confirmation of study entitlement. SUBJECT PREREQUISITES (programme page, no ECTS attached): ""for candidates from the same field: completion of the minimum curriculum indicated in the study plan. The minimum curriculum is specified for candidates from the same domain of study (Computer Science, Information Technology, or related domains) and includes foundational courses: Numerical Methods, Data Structures and Algorithms, Object Oriented Programming, Procedural Programming, Interactive programming (Python), Human-computer interaction (HCI); for candidates from different fields: Candidates must complete the required prerequisites before admission or during the program through designated bridging modules."" Programme is 2 years / 120 ECTS, 3 000 EUR per year. English proficiency required (exempt with a C1 certificate or an English-taught degree). ANACEC accreditation status for this Data Science programme is NOT stated on either the UTM International programme page or the FCIM programme page - still unconfirmed. No recency rule published.",https://international.utm.md/study-in-english/data-science/
Czechia,Academy of Performing Arts in Prague - Film and TV School (FAMU),Photography (MA),NOT_FOUND,yes,"No credit/ECTS floor published. FAMU General admission requirements for master's study 2027/28: open to applicants ""who have completed their bachelor's degree studies or are in the last year of their bachelor's degree studies"", with ""a copy of your Bachelor's Degree diploma""; ""to enrol in September you need to undergo the diploma recognition procedure"" (Czech nostrification of the foreign degree) - this is the practical gate for a Tunisian licence, not a credit count. Department page states no field requirement: ""applicants who have not studied photography under a bachelor's degree programme may also apply"", only ""previous experience in the creative use of photography and technical images"" is expected. Selection is a two-round talent exam (portfolio + motivation letter, then conceptual assignment and interview by video call). Standard length 2 years (Photography). No recency rule published.",https://photography.famu.cz/en/master-study-program
Czechia,Academy of Performing Arts in Prague - Film and TV School (FAMU),Montage (MA),NOT_FOUND,conditional,"No credit/ECTS floor published. Department ""How to apply"" page requires applicants to have ""completed a Bachelor's Degree in film or a related field"" - a FIELD restriction, not a credit one - plus English at B2 (CEFR). Application materials: passport scan, teacher's letter of recommendation, structured CV, motivation letter (max 1000 words), application fee (CZK 967), scan of the bachelor's diploma (English or translated), a short film (max 40 min), written film analysis (600-1200 words), photographic storyboard (max 17 shots), audiovisual self-portrait (max 1 min). Two rounds: materials assessment then MS Teams interview. FAMU general rules add the mandatory foreign-diploma recognition procedure before September enrolment. Standard length 3 years. No recency rule published.",https://www.famu.cz/en/departments/famu-international-fi/master-studies/montage/montage-how-to-apply/
Czechia,Academy of Performing Arts in Prague - Film and TV School (FAMU),Cinematography (MA),NOT_FOUND,conditional,"No credit/ECTS floor published. Cinematography Department (CIN KK) entry-requirements document: applicants must have ""A successful completion of a Bachelor's degree at a college with a similar or related focus, possibly accompanied by practical experience with filmmaking"" - a field restriction. Non-credit subject prerequisites are listed: ""Knowledge in maths: general secondary school level; particularly simple equations, goniometric functions, common logarithm. Knowledge in physics: general secondary school level; particularly electromagnetic radiation, optics. International cinematography and the cameraman's job. General knowledge in the field of art."" Own still camera with interchangeable lenses required; English B2 minimum; two-stage entrance exam, interviews by Zoom in February; application deadline 21 January 2027 for 2027/28; fee CZK 2 111. FAMU general rules add the mandatory foreign-diploma recognition procedure before September enrolment. CAUTION: the departmental entry-requirements PDF is dated November 2019 (its deadlines are stale) though the degree requirement is unchanged on the current How-to-apply page. Standard length 3 years.",https://www.famucinematographydpt.com/en/how-to-apply
