country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
Cyprus,University of Limassol (formerly CIIM),MSc in Business Intelligence and Data Analytics,NOT_FOUND,conditional,"Admissions Requirements: ""Bachelor's degree and transcripts from an accredited program. In terms of GPA, we expect 2:2 and above from UK schools, 3.0 and above from US schools, and 6.5 and above or the equivalent from Cypriot and Greek Universities and colleges."" Also: ""Satisfactory quantitative skills as evidenced by the quantitative courses they have taken during their Bachelor's degree study."" No credit volume and no minimum duration of prior study is published; a 3-year 180-ECTS licence is not excluded by the wording, but the quantitative-coursework check is an individual assessment.",https://www.uol.ac.cy/en/program/msc-bida-program
Cyprus,American University of Beirut - Mediterraneo (AUB Mediterraneo),Master of Science in Business Analytics (MSBA),NOT_FOUND,NOT_FOUND,"AMBIGUOUS - no prior-degree rule published. The official Graduate Admissions page lists only documentary requirements: ""Official transcripts from all institutions previously attended providing a complete record of study. Statement of purpose. Resume or CV. English language requirement (upon admission and prior to matriculation)."" It states no required degree type, credit volume, duration or GPA, and the MSBA programme page carries no admission section. Prior credit volume acceptable for entry cannot be established from published sources; applicant must ask admissions directly.",https://www.aubmed.ac.cy/Admissions/Pages/Graduate-Admissions.aspx
Greece,International Hellenic University,MSc in e-Business and Digital Marketing,NOT_FOUND,conditional,"Who can apply: ""An undergraduate University degree in Engineering, Science, Informatics, Economics & Business Administration as well as from Technological Educational Institutes in related subject areas, in Greece or a recognized Higher Education Institution from abroad."" Key-facts box: ""An undergraduate degree from an accredited University, preferably in Engineering, Science, Informatics, Economics & Business Administration."" No ECTS floor and no minimum number of years is published. Foreign institutions must be on the DOATAP recognised list, and enrolment requires an authenticated degree (validation via a Greek consulate/embassy, can take 3+ months). Greek first-cycle degrees are normally 4 years / 240 ECTS, but the programme publishes no credit minimum, so 180 ECTS is neither accepted nor excluded in writing.",https://st.ihu.gr/studies/postgraduate/ebusiness
Greece,International Hellenic University,MSc in Data Science,NOT_FOUND,conditional,"Who can apply: ""An undergraduate degree from a Higher Education Institution in Greece or a recognized Higher Education Institution from abroad. STEM (Science, Technology, Engineering and Mathematics) degrees are deemed to be compatible with the programme. However, other degrees are also considered in case of solid background in statistics/mathematics and good knowledge of fundamental concepts of databases and programming."" No ECTS floor and no minimum duration published. Foreign institution must be DOATAP-recognised; enrolment requires an authenticated degree. Subject-specific expectation (statistics/mathematics, databases, programming) is assessed individually rather than by credit count.",https://st.ihu.gr/studies/postgraduate/datascience
Greece,Athens University of Economics and Business,MSc in Marketing Analytics,NOT_FOUND,conditional,"Admission requirement: ""An undergraduate degree from a formally recognized Greek or foreign University."" Application process adds: ""In case of foreign degrees, applicants must submit a recognition certificate from the National Academic Recognition Information Center"" (DOATAP). No ECTS floor, no minimum years, no subject restriction published. English C2 for full-time / C1 for part-time; part-time also needs 2 years work experience. Whether a 180-ECTS Tunisian licence qualifies turns entirely on the DOATAP/AUEB academic assessment of the foreign title.",https://www.dept.aueb.gr/en/marketinganalytics
Greece,Athens University of Economics and Business,MSc in AI and Data Science,NOT_FOUND,conditional,"The official Admission Requirements page lists required documents only, including ""Copy of all university degrees/diplomas received"" and ""Certificate of equivalence for degrees from foreign Universities, issued by DOATAP/Hellenic NARIC"", plus proof of English at C2, two recommendation letters and CV. No accepted-degree list, no ECTS floor and no minimum years of prior study are published on the page (it defers to the annual Call for Applications). Admission of a 180-ECTS licence therefore depends on the DOATAP/Hellenic NARIC equivalence certificate.",https://datascience.aueb.gr/page.php?id=115
Greece,Athens University of Economics and Business,MSc in Business Analytics,NOT_FOUND,conditional,"Applicants' Profile & Requirements: ""All fields will be considered, but management science, business administration, mathematics, physics, statistics, engineering and computer science seem a natural fit for the program""; applicants should have ""basic IT concepts, such as programming and database management"". Requirements are listed as ""Bachelor's degree, Recommendation letters, Curriculum Vitae, Verified advanced or excellent command of the English language (C1/C2 level)"". No ECTS floor or minimum years published. Under Greek law 4957/2022 AUEB itself academically assesses foreign titles against the DOATAP national registries, so a 180-ECTS licence is subject to individual assessment.",https://www.dept.aueb.gr/en/analytics/content/applicants-profile-requirements
Ireland,Dublin Business School,Master of Science (MSc) in Business Analytics,NOT_FOUND,conditional,"""Level 8 honours degree with a minimum 2.2 in a relevant area. Cognate areas include business, IT, finance, economics, mathematics, statistics and related fields."" FAQ adds: ""Applicants normally need a Level 8 honours bachelor's degree with a minimum 2.2 in a relevant area. Non-cognate applicants may be considered with three to five years' business analytics experience."" No credit figure given; states ""Level 8 honours degree or equivalent""; Irish Level 8 is normally 240 ECTS, so a 180-ECTS licence requires individual equivalency assessment. Business Intelligence is a cognate area, so the subject fit is satisfied.",https://www.dbs.ie/course/postgraduate/master-of-science-(msc)-in-business-analytics
Ireland,Maynooth University,MSc BUSINESS ANALYTICS (MH48D),NOT_FOUND,conditional,"""Applicants must hold a minimum of a bachelor's degree (NFQ Level 8) (or equivalent) with a minimum of a second-class honours, grade 2 (2:2) in a discipline which includes quantitative techniques as part of the degree (including the ability to undertake statistical analysis of data). Examples of such degrees include business studies, management science, economics, finance, accounting, engineering, mathematics, physics, computer science and other sciences."" RPL route exists for applicants without a primary degree who have 10+ years relevant experience. No credit figure given; states ""Level 8 honours degree or equivalent""; Irish Level 8 is normally 240 ECTS, so a 180-ECTS licence requires individual equivalency assessment.",https://www.maynoothuniversity.ie/study-maynooth/postgraduate-studies/courses/msc-business-analytics
Ireland,University of Limerick,Business Analytics - MSc,NOT_FOUND,conditional,"""Applicants should hold a bachelor's degree (NFQ Level 8) with at least a second-class honours, grade 2 (2:2) in a relevant discipline e.g. business, finance, economics mathematics, engineering, computer science, etc."" UL's general postgraduate rule is a ""first or second class Level 8 honours degree (NFQ or other internationally recognised equivalents) in a relevant or appropriate subject"". No credit figure given; states ""Level 8 honours degree or equivalent""; Irish Level 8 is normally 240 ECTS, so a 180-ECTS licence requires individual equivalency assessment. NOTE: UL publishes a country-by-country international entry table but it contains NO Tunisia row (nearest North African entry is Libya); for several countries that table does demand a four-year degree and for China explicitly states ""We do not accept three-year degrees"", so a Tunisian 180-ECTS licence must be individually assessed.",https://www.ul.ie/study/postgraduate/business-analytics-msc/entry-requirements
