track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence
A,Italy,Milan,Universita Commerciale Luigi Bocconi,private-accredited-by-state,MSc in Data Science and Business Analytics,"Laurea Magistrale / Master of Science, 120 CFU",Bocconi Master of Science programmes,EN,24,120,NOT_FOUND,18550 PRIOR_CYCLE,https://www.unibocconi.it/en/applying-bocconi/master-science-and-ma-programs/fees,NOT_FOUND,2027-04-29,https://www.unibocconi.it/en/applying-bocconi/master-science-and-ma-programs/timeline,180,yes,English certificate not required for selection but must be provided by the enrolment deadline and in any case by end of June 2027,"GMAT or GRE score, or the online Bocconi admission test",no,no,"No published minimum CFU per disciplinary sector; programme states it is designed for applicants with a strong computational, statistical and mathematical background",https://www.unibocconi.it/en/programs/master-science/data-science-and-business-analytics,NOT_FOUND,"180-ECTS licence satisfies the first-cycle requirement and the quantitative profile (Python, scikit-learn, SQL) matches the stated computational orientation. Fee is a single flat amount not linked to ISEE and identical for EU and non-EU applicants; the 2027-28 fee was not yet published.",2026-08-16,medium
A,Italy,Rome,Luiss Guido Carli,private-accredited-by-state,Master's Degree Programme in Data Science and Management,"Laurea Magistrale, degree class LM-91, 120 CFU",Luiss Department of Business and Management,EN,24,120,NOT_FOUND,15000,https://www.luiss.it/en/admissions/programs-offered/masters-degree/data-science-and-management,NOT_FOUND,NOT_FOUND,https://www.luiss.it/en/orientation-and-admissions/admission-procedures/masters-degree-admissions,180,yes,"B2 English, assessed during the admission test",Luiss admission test,n/a,no,"Direct curricular access for Italian first-cycle classes L-8/L-31/L-33/L-35/L-41; otherwise at least 48 CFU across the listed areas, of which at least 24 CFU in ECON-01/A, ECON-06/A, ECON-07/A, ECON-08/A, STAT-01/A, INFO-01/A, IINF-01/A (a.y. 2027/2028 requirements)",https://www.luiss.it/en/admissions/programs-offered/masters-degree/data-science-and-management,NOT_FOUND,A Business Intelligence licence is likely to satisfy the 24-CFU quantitative/IT core but this must be checked credit by credit against the published SSD list. Admission notices and the full calendar for a.y. 2027/2028 are published only from November 2026.,2026-08-16,high
A,Italy,Milan,Universita Cattolica del Sacro Cuore,private-accredited-by-state,Data Analytics for Business,"Laurea Magistrale in Data Analytics for Business, degree class LM-82 R, 120 CFU","Faculty of Economics and Faculty of Mathematical, Physical and Natural Sciences",EN,24,120,NOT_FOUND,9370 PRIOR_CYCLE,https://international.unicatt.it/ucscinternational-admission-and-tuition-tuition-fees-and-scholarships-9379,NOT_FOUND,NOT_FOUND,https://international.unicatt.it/ucscinternational-2-year-graduate-degrees-data-analytics-for-business,180,NOT_FOUND,NOT_FOUND,Evaluation test of English language proficiency,n/a,no,NOT_FOUND,https://www.unicatt.it/corsi/magistrale/data-analytics-for-business-milano.html,NOT_FOUND,"Fee shown is the fixed 2026/27 amount for students whose family income is produced outside the EU, reducible to about 6400 EUR with the UCSC International Scholarship. Applications for a.y. 2027/2028 reopen in autumn 2026; curricular requirements are published only inside the downloadable admission-procedure PDF.",2026-08-16,medium
A,Italy,Venice,Universita Ca' Foscari Venezia,public,Data Analytics for Business and Society,"Laurea Magistrale (second cycle degree), 120 CFU","Department of Economics / Department of Environmental Sciences, Informatics and Statistics",EN,24,120,NOT_FOUND,1300 PRIOR_CYCLE,https://www.unive.it/pag/50473/,NOT_FOUND,2026-09-30 PRIOR_CYCLE,https://www.unive.it/pag/40813/,180,yes,B2 English,NOT_FOUND,n/a,no,"Minimum 60 CFU across the listed academic fields, including at least 12 CFU in Economics and Business fields and at least 12 CFU in the Statistical-Mathematical field",https://www.unive.it/web/en/12709/home,NOT_FOUND,"Non-EU flat fee of 1300 EUR replaces the ISEE calculation entirely, so no ISEE-parificato is needed; Tunisia falls in the general non-EU bracket, not the Low Human Development bracket. The recorded date is the Universitaly pre-enrolment deadline for a.y. 2026/27, which precedes the university's own pre-evaluation deadline.",2026-08-16,medium
A,Italy,Bologna,Alma Mater Studiorum - Universita di Bologna,public,"Statistics, Economics and Business - curriculum Business Analytics","Laurea Magistrale (second cycle degree / two year master), 120 CFU",Department of Statistical Sciences Paolo Fortunati,EN,24,120,NOT_FOUND,1357.04 PRIOR_CYCLE,https://www.unibo.it/en/study/enrolment-fees-and-other-procedures/degree-programmes/tuition-fees-and-exemptions/reduced-fixed-fee-for-citizens-of-particularly-poor-and-developing-countries-or-non-eu-non-oecd-countries,NOT_FOUND,2026-05-11 PRIOR_CYCLE,https://corsi.unibo.it/2cycle/BusinessAnalytics/how-to-enrol,180,yes,"B2 English (OOPT test at the Bologna University Language Centre, or a first/second cycle degree taught in English, or a B2 English exam in a previous degree)",Remote interview via MS Teams; adequacy threshold 60/100,n/a,no,"At least 22 CFU in total: minimum 16 CFU in probability and statistics (SECS-S/01, 02, 03, 05; MAT/06) or mathematics (SECS-S/06; MAT/02, 03, 05, 07, 08, 09), of which at least 8 CFU in probability and statistics; plus at least 6 CFU in economics (SECS-P/01, 02, 03, 05, 06) or business economics and management (SECS-P/07, 08, 09)",https://corsi.unibo.it/2cycle/BusinessAnalytics,NOT_FOUND,"Fee recorded is the reduced fixed contribution for non-EU non-OECD citizens with income and assets only outside Italy (1200 EUR plus the 157.04 EUR fixed fee), which requires checking Tunisia against the published non-OECD list. The 22-CFU curricular threshold is the binding filter for a Business Intelligence licence.",2026-08-16,high
A,Italy,Milan,Politecnico di Milano,public,Management Engineering,"Laurea Magistrale (equivalent to Master of Science), 120 CFU",School of Industrial and Information Engineering,EN,24,120,September; February,3943.04 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-much-does-it-cost/laurea-laurea-magistrale-and-single-cycle-programmes,NOT_FOUND,2026-02-26 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-to-apply/admission-to-laurea-magistrale/foreign-qualification/deadlines,180,yes,"Certified English proficiency mandatory for admission: IELTS 6.0, TOEFL iBT 78, Cambridge B2 First or C1 Advanced, PTE Academic 59, Trinity ISE II, LanguageCert ESOL B2, TOEIC 720",None published,no,no,Valid first-cycle degree with adequate academic background assessed by the Evaluation Committee; no published minimum CFU per disciplinary sector for foreign qualifications,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/management-engineering,NOT_FOUND,"Non-EU students with a foreign first-level qualification and no ISEE are charged the maximum amount, so the figure recorded is the effective non-EU fee. Italian language is an OFA graduation obligation, not an admission requirement.",2026-08-16,high
A,Italy,Milan,Universita degli Studi di Milano,public,Data Science for Economics and Health,"Laurea Magistrale, degree class LM-DATA, 120 CFU","Department of Computer Science Giovanni degli Antoni and Department of Economics, Management and Quantitative Methods",EN,24,120,NOT_FOUND,4291.12 PRIOR_CYCLE,https://www.unimi.it/en/study/bachelor-and-master-study/fees-and-how-pay-them/fees-2026/2027,NOT_FOUND,2026-04-30 PRIOR_CYCLE,https://www.unimi.it/en/education/master-programme/data-science-economics-and-health,180,yes,B2 English or higher (CEFR),Written online admission test in English; interview may be required,n/a,no,"At least 30 ECTS in computer science and mathematics (MAT-01 to MAT-09, INF-01, ING-INF/05), or in economic sciences and statistics (SECS-S/01, 02, 03, 06; SECS-P/01, 02, 03, 05, 07, 08, 10), or in medical sciences (MED/01)",https://www.unimi.it/en/education/master-programme/data-science-economics-and-health,NOT_FOUND,"Fee recorded is the fixed second instalment for Group C (household income produced abroad) plus the 190 EUR first instalment, so it does not depend on ISEE. The 30-ECTS quantitative threshold is plausibly met by a Business Intelligence licence but must be verified per exam.",2026-08-16,medium
A,Italy,Trento,Universita degli Studi di Trento,public,Master of Science in Data Science,"Laurea Magistrale, 120 CFU",Department of Information Engineering and Computer Science,EN,24,120,NOT_FOUND,4500 PRIOR_CYCLE,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/masters-degrees-english,NOT_FOUND,2026-03-04 PRIOR_CYCLE,https://corsi.unitn.it/en/data-science/enrollment/admission-non-europeans,180,yes,B2 English (CEFR),Selection on academic curriculum and merit; application fee 30 EUR,n/a,no,"6 ECTS in computer science or computer engineering, 6 ECTS in social sciences, economics, psychology or law, 6 ECTS in mathematics or statistics, plus 24 further ECTS in these or related disciplines; missing credits may be completed before enrolment",https://corsi.unitn.it/en/data-science,NOT_FOUND,"Figure recorded is the highest first-year band for Group A programmes for non-EU citizens; the fee falls to zero for applicants scoring 90/100 or more at admission, and 81 places are reserved for non-EU nationals living abroad. Business and economics is one of the programme's declared domain specialisations, which is what places it in Track A.",2026-08-16,medium
B,Italy,Milan,Politecnico di Milano,public,Digital and Interaction Design,"Laurea Magistrale (equivalent to Master of Science), 120 CFU",School of Design,EN,24,120,September,3943.04 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-much-does-it-cost/laurea-laurea-magistrale-and-single-cycle-programmes,NOT_FOUND,2026-01-29 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-to-apply/admission-to-laurea-magistrale/foreign-qualification/deadlines,180,conditional,English language certificate at minimum B2 level (CEFR),"Merit ranking out of 100 points: 50 portfolio, 20 CV, 30 GPA",yes,no,"Not a quantitative filter: applicants with a foreign qualification need a bachelor (EQF 6) in design, architecture, engineering or information technologies; Italian qualifications additionally need 36 CFU in SSD CEAR-08/D and IINF-05",https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/digital-and-interaction-design,NOT_FOUND,"Entry is conditional: a Business Intelligence licence would have to be accepted under the information technologies heading, and the portfolio carries half the ranking score. The applicant's videography and editing practice is the relevant portfolio material.",2026-08-16,high
B,Italy,Milan,Politecnico di Milano,public,Communication Design,"Laurea Magistrale (equivalent to Master of Science), 120 CFU",School of Design,EN,24,120,September,3943.04 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-much-does-it-cost/laurea-laurea-magistrale-and-single-cycle-programmes,NOT_FOUND,2026-01-29 PRIOR_CYCLE,https://www.polimi.it/en/prospective-students/how-to-apply/admission-to-laurea-magistrale/foreign-qualification/deadlines,180,conditional,English language certificate at minimum B2 level (CEFR),Evaluation of academic records under the Teaching Regulations,NOT_FOUND,no,Not a quantitative filter: accepted first-cycle classes include Information Engineering and Computer Science provided at least 30 ECTS of relevant design coursework or equivalent competences are held; non-Italian degrees must be deemed equivalent to a first-level degree in design or a related field,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/communication-design-1,NOT_FOUND,The programme runs Italian and English tracks; only the English track is within scope. Admission for a Business Intelligence licence depends on demonstrating 30 ECTS of design-relevant coursework or equivalent competences.,2026-08-16,medium
