track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence,entry_requirement_note,entry_requirement_source_url,entry_requirement_note,entry_requirement_source_url
A,Spain,Madrid,Universidad Carlos III de Madrid,public,Master in Big Data Analytics,"Master Universitario Oficial (official Spanish state master's degree; ANECA-evaluated, RUCT-registered)",Graduate School of Engineering and Basic Sciences,EN,12,60,NOT_FOUND,7200,https://www.uc3m.es/master/big-data-analytics,NOT_FOUND,2026-05-31 PRIOR_CYCLE,https://www.uc3m.es/postgraduate/admission/process,180,yes,English proficiency required; accepted if the previous degree was completed in English; no minimum band published,none stated,n/a,no,"Bachelor in Computer Science, Telecommunications Eng., Statistics, Mathematics, Physics or Industrial Eng.; other backgrounds must evidence mathematics, statistics and computing knowledge",https://www.uc3m.es/master/big-data-analytics,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial","Applicant's Python, SQL, machine-learning and big-data coursework maps onto the stated mathematics/statistics/computing entry evidence for non-listed bachelor fields. Fully English-taught, 60 ECTS in one year at a public-price official master.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Spain,Barcelona,Barcelona School of Economics (degree awarded jointly by Universitat Pompeu Fabra and Universitat Autonoma de Barcelona),private-accredited-by-state,Master's Degree in Data Science - Data Science for Decision Making Program,"Master Universitario Oficial in Data Science, jointly awarded by UPF and UAB",Barcelona School of Economics,EN,12,60,September,19500 PRIOR_CYCLE,https://bse.eu/masters-degrees/data-science/data-science-decision-making,NOT_FOUND,NOT_FOUND,https://bse.eu/masters-degrees/data-science/data-science-decision-making,180,yes,TOEFL >=90 or IELTS Academic >=6.5 or Duolingo >=120,"GRE General Test optional, highly recommended",n/a,no,"Degree in Economics, Finance, Engineering, Mathematics, Statistics or Business Administration; strong quantitative skills required",https://bse.eu/masters-degrees/data-science/data-science-decision-making,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial","Programme explicitly accepts Bologna first-cycle degrees of minimum 180 ECTS, matching the applicant's Licence. Decision-science framing sits directly on the Business Intelligence background.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Spain,Barcelona,Esade Business School - Universitat Ramon Llull,private-accredited-by-state,Master of Science in Business Analytics,Master Universitari Oficial in Business Analytics awarded by Universitat Ramon Llull (confirmed on the Generalitat de Catalunya official degree register),Esade Business School,EN,12,60,September,39000,https://www.esade.edu/master-of-science/en/fees-and-financing,NOT_FOUND,NOT_FOUND,https://www.esade.edu/master-of-science/en/fees-and-financing,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,n/a,no,NOT_FOUND,https://www.esade.edu/master-of-science/en/program/masters-in-business-analytics,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial","Official 60-ECTS Ramon Llull master aimed at recent graduates with up to two years' experience, which fits the applicant's stage. Language is English with optional Spanish/French classes.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Spain,Barcelona,UPF Barcelona School of Management - Universitat Pompeu Fabra,private-accredited-by-state,Master of Science in Management specialization in Business Analytics,"Master Universitari en Ciencies Empresarials / Master of Science in Management - official UPF degree, plus a UPF-BSM completion certificate",UPF Barcelona School of Management,EN,10,60,September,18500,https://www.bsm.upf.edu/en/master-science-management-business-analytics,NOT_FOUND,NOT_FOUND,https://www.bsm.upf.edu/en/master-science-management-business-analytics,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,n/a,no,"Targets applicants with analytical skills from Business Administration, Economics, Engineering, Mathematics or Physics",https://www.bsm.upf.edu/en/master-science-management-business-analytics,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial","Official UPF master's title with a Business Analytics specialisation among 30+ electives, so the analytics load is elective-driven rather than core. Classes are in the afternoon on the UPF Ciutadella campus.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Spain,Madrid,IE University - IE School of Science and Technology,private-accredited-by-state,Master in Business Analytics and Data Science,"Master Universitario Oficial en Analitica de Negocio / Master in Business Analytics (official state degree, BOE-A-2021-20309), awarded together with an IE University titulo propio in Data Science",IE School of Science and Technology,EN,11,60,April; September,43000,https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/admissions-fees/,NOT_FOUND,NOT_FOUND,https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/admissions-fees/,NOT_FOUND,yes,TOEFL 100 (105 recommended) or IELTS 7.0 (7.5 recommended) or Duolingo 130 or Cambridge C1; waived if the previous degree was taught in English,"ieGAT, GMAT or GRE required",n/a,no,No stated quantitative prerequisite; the school states students without a technical background are admitted,https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial",Only the Business Analytics half of the award is a Spanish official master; the Data Science component is an IE titulo propio and would not carry state recognition on its own. Highest tuition in this territory by a wide margin.,2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Portugal,Lisbon,NOVA Information Management School (NOVA IMS) - Universidade NOVA de Lisboa,public,"Master Degree Program in Data Science and Advanced Analytics, with a specialization in Business Analytics",Mestrado - Portuguese second-cycle master's degree,NOVA Information Management School,EN,24,120,September,5300,https://novaims.unl.pt/en/education/programs/postgraduate-programs-and-master-degree-programs/master-degree-program-in-data-science-and-advanced-analytics-with-a-specialization-in-business-analytics/,NOT_FOUND,NOT_FOUND,https://novaims.unl.pt/en/education/programs/postgraduate-programs-and-master-degree-programs/master-degree-program-in-data-science-and-advanced-analytics-with-a-specialization-in-business-analytics/,180,yes,Proficiency in English (spoken and written) required; no test or band published,none stated,n/a,no,Bachelor's degree in a compatible field required; no explicit quantitative test,https://novaims.unl.pt/en/education/programs/postgraduate-programs-and-master-degree-programs/master-degree-program-in-data-science-and-advanced-analytics/,NOT_FOUND,"Non-EU tuition is EUR 5,300 in year one and EUR 2,700 in year two (EUR 8,000 total, 2026-27), against EUR 6,200 for EU nationals. Classes run 2-3 times a week in working-hours format over four semesters.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Portugal,Lisbon,Nova School of Business and Economics (Nova SBE) - Universidade NOVA de Lisboa,public,Master's in Business Analytics,Mestrado - Portuguese second-cycle master's degree,Nova School of Business and Economics,EN,18,90,NOT_FOUND,13000,https://www.novasbe.unl.pt/en/programs/masters/business-analytics/fees,NOT_FOUND,NOT_FOUND,https://www.novasbe.unl.pt/en/programs/apply/masters/eligibility,NOT_FOUND,NOT_FOUND,B2 English certificate required at application,none stated,n/a,no,Delivered with NOVA School of Science and Technology's Computer Science department; 30-ECTS work project in semester three,https://www.novasbe.unl.pt/en/programs/masters/business-analytics,NOT_FOUND,"The EUR 13,000 figure is the non-EU/EEA fee for the whole 1.5-year programme (EU/EEA pay EUR 11,900), plus a non-refundable EUR 2,350 non-EU enrolment fee. Cohort profile is 0-2 years' professional experience, matching a fresh Licence holder.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Portugal,Lisbon,Catolica-Lisbon School of Business and Economics - Universidade Catolica Portuguesa,private-accredited-by-state,MSc in Business Analytics,Mestrado / Master of Science - Portuguese second-cycle degree,Catolica-Lisbon School of Business and Economics,EN,18,120,September,9633,https://clsbe.lisboa.ucp.pt/master-science-business-analytics/fees-scholarships,NOT_FOUND,NOT_FOUND,https://www.clsbe.lisboa.ucp.pt/master-science-business-analytics/admissions,NOT_FOUND,NOT_FOUND,"No certificate mandatory; TOEFL 100 iBT, IELTS 7.0 or CAE grade C recommended","GMAT optional (650, or 595 GMAT Focus, recommended for finance programmes)",n/a,no,Programme covers statistics and programming from fundamentals; no stated quantitative entry test,https://www.clsbe.lisboa.ucp.pt/master-science-business-analytics/overview,NOT_FOUND,"Published fee schedule shows a single rate with no EU/non-EU split: EUR 9,633 tuition plus EUR 700 registration in year one, EUR 15,600 total for the 3-semester option. Non-refundable admission fee of EUR 120 on enrolment.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
A,Portugal,Lisbon,"ISEG - Lisbon School of Economics and Management, Universidade de Lisboa",public,Master's in Data Analytics for Business,"Mestrado - Portuguese second-cycle master's degree, A3ES-accredited",ISEG - Lisbon School of Economics and Management,EN,18,120,September,6350,https://www.iseg.ulisboa.pt/en/study/masters/data-analytics-for-business,NOT_FOUND,2026-06-22 PRIOR_CYCLE,https://www.iseg.ulisboa.pt/secretaria/en/applications/masters-degree-applications/,180,yes,Fluent English required; English diploma optional in the application file,none required,n/a,no,"Preference for degrees in Economics, Management, Finance, Mathematics, Statistics or Engineering; ranking adds up to +3 points for prior coursework in probability, statistics, programming and information systems",https://www.iseg.ulisboa.pt/en/study/masters/data-analytics-for-business,NOT_FOUND,"Non-EU tuition is EUR 6,350 year one and EUR 3,500 year two (EUR 9,850 total, 2026-27) versus EUR 6,850 for EU students; non-EU registration deposit is EUR 1,400. ISEG explicitly advises non-European applicants not to use the third application phase because of visa timing.",2026-08-16,high,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
B,Spain,Madrid,IE University - IE Business School,private-accredited-by-state,"Master in Creative Direction, Content & Branding","Master Universitario Oficial en Creacion y Gestion de Medios Visuales / Visual Media: Creation and Management (official state degree, BOE-A-2014-9664)",IE Business School,EN,10,60,September,37000,https://www.ie.edu/business-school/programs/masters/master-in-creative-direction-content-branding/admissions-fees/,NOT_FOUND,NOT_FOUND,https://www.ie.edu/business-school/programs/masters/master-in-creative-direction-content-branding/admissions-fees/,NOT_FOUND,yes,TOEFL 100 (105 recommended) or IELTS 7.0 (7.5 recommended) or Duolingo 130 or Cambridge C1; waived if the previous degree was taught in English,"ieGAT, GMAT or GRE required",no,no,None stated,https://www.ie.edu/business-school/programs/masters/master-in-creative-direction-content-branding/,"yes - 24-month non-renewable job-search residence permit for holders of a Spanish EQF Level 6+ degree (Hoja 20, Ministerio de Inclusion): https://www.inclusion.gob.es/web/migraciones/w/20.-autorizacion-de-residencia-para-busqueda-de-empleo-o-inicio-de-proyecto-empresarial","Covers multi-format visual and digital media project development, storytelling and content production, matching the applicant's videography and video-editing practice. Optional three-month career specialisation costs a further EUR 6,000.",2026-08-16,medium,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
