track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence
A,France,Cergy,ESSEC Business School (joint with CentraleSupelec),private-accredited-by-state,Master in Data Sciences & Business Analytics (DSBA),"Master's degree authorised by the French Ministry of Higher Education to award a recognised BAC+5 degree with the grade de master, after CEFDG evaluation - not a Mastere Specialise",ESSEC Business School / CentraleSupelec,EN,24,NOT_FOUND,NOT_FOUND,24500,https://www.essec.edu/en/program/master-data-sciences-business-analytics/,NOT_FOUND,NOT_FOUND,NOT_FOUND,180,conditional,TOEFL iBT 95 or IELTS 6.5; waived after 3+ years of study in an English-taught programme,"GMAT, GRE or TAGE-MAGE mandatory",no,no,NOT_FOUND,https://www.essec.edu/en/program/master-data-sciences-business-analytics/,yes - APS temporary residence permit available to master's-level graduates,Two-year (M1+M2) track is the entry route for holders of a 3-year bachelor; the 1-year track is for candidates already at M1 level. Curriculum in data science and business analytics maps directly onto the applicant's Python/SQL/ML background. NOTE: ESSEC's grade de master authorisation expires 31/08/2027 per the CEFDG register; confirm renewal before relying on this row for a 2027 intake.,2026-08-16,medium
A,France,Lille,EDHEC Business School,private-accredited-by-state,MSc in Data Analytics & Artificial Intelligence,"Master of Science accredited by the French Ministry of Higher Education and Research to confer a recognised BAC+5 degree with the Master's Grade, after CEFDG evaluation - not a Mastere Specialise",EDHEC Business School,EN,18,120,September,28700 PRIOR_CYCLE,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-data-analytics-and-artificial-intelligence,NOT_FOUND,2026-06-10 PRIOR_CYCLE,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-data-analytics-and-artificial-intelligence,180,yes,TOEFL iBT >=92 / IELTS Academic >=6.5 / TOEFL iTP >=570; waiver for a degree taught in English over at least three years,"GMAT, GRE, TAGE MAGE optional",no,no,Minimum three-year bachelor in any engineering or business/finance background with a good quantitative level,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-data-analytics-and-artificial-intelligence,yes - APS temporary residence permit available to master's-level graduates,"Explicitly accepts a minimum three-year bachelor, matching the applicant's 180-ECTS licence. Applications from holders of non-French degrees are rolling from September to the June cut-off.",2026-08-16,medium
A,France,Lille,EDHEC Business School,private-accredited-by-state,MSc in Marketing Analytics,"Master of Science accredited by the French Ministry of Higher Education and Research to confer a recognised BAC+5 degree with the Master's Grade, after CEFDG evaluation - not a Mastere Specialise",EDHEC Business School,EN,18,120,September,28700 PRIOR_CYCLE,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-marketing-analytics,NOT_FOUND,2026-06-10 PRIOR_CYCLE,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-marketing-analytics,180,yes,TOEFL iBT >=92 / IELTS Academic >=6.5 / TOEFL iTP >=570; waiver for a degree taught in English over at least three years,"GMAT, GRE, TAGE MAGE optional",no,no,Minimum three-year bachelor in any engineering or business/finance background,https://www.edhec.edu/en/programmes/masters-degree/business-degrees/msc-in-marketing-analytics,yes - APS temporary residence permit available to master's-level graduates,"Marketing-analytics variant of the same accredited MSc family; covers data modelling, visualisation, web analytics and machine learning. Same non-French-degree rolling application window.",2026-08-16,medium
A,France,Lille,IESEG School of Management,private-accredited-by-state,Master in AI & Data Analytics for Business,"State-recognised Grade de Master via the DESMI (Diplome d'Etudes Specialisees en Management International), registered RNCP41034 - not a Mastere Specialise",IESEG School of Management,EN,12,120,September,23300,https://www.ieseg.fr/en/programs/masters-science/msc-big-data/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,https://www.ieseg.fr/en/programs/masters-science/msc-big-data/,yes - APS temporary residence permit available to master's-level graduates,"Programme is three terms plus a capstone project, 120 ECTS, delivered in English on the Lille campus. A fast-track (two-term) option is priced at EUR 20,300.",2026-08-16,medium
A,France,Paris,emlyon business school,private-accredited-by-state,Master in Data Science & Artificial Intelligence Strategy,"Master's Grade degree; validates the DipViGrM Diplome Specialise en Management de l'Innovation, level 7, RNCP 41017 - not a Mastere Specialise",emlyon business school,EN,24,NOT_FOUND,September,13750 year 1 / 24750 year 2 PRIOR_CYCLE,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,NOT_FOUND,2026-08-24 PRIOR_CYCLE,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,180,yes,"TOEFL, TOEIC, IELTS or Cambridge required; exemption for native speakers or 3+ years of tertiary education in English","GMAT/GRE optional, considered for merit scholarships",no,no,Year 1 entry requires a Licence/Bachelor of 180 ECTS minimum; Year 2 direct entry requires 240 ECTS,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,yes - APS temporary residence permit available to master's-level graduates,"Year 1 entry is explicitly open at 180 ECTS, so the applicant enters the 24-month route. Content spans data science, machine learning, big data, cloud, business analytics and AI strategy.",2026-08-16,high
A,France,Toulouse,Universite Toulouse Capitole - Toulouse School of Economics,public,Master in Data Science for Social Sciences (D3S),Diplome national de master delivered by Universite Toulouse Capitole,Toulouse School of Economics,EN,24,NOT_FOUND,September,5755 PRIOR_CYCLE,https://www.tse-fr.eu/admissions,NOT_FOUND,2026-02-02 PRIOR_CYCLE,https://www.tse-fr.eu/admissions,180,conditional,"International track: TOEFL iBT 95/120, or IELTS 7/9, or Cambridge C1",GRE mandatory for applicants holding a foreign degree (no minimum score set),no,no,Strong mathematics and statistics background expected for the international track,https://www.tse-fr.eu/admissions,yes - APS temporary residence permit available to master's-level graduates,"Entry for a 180-ECTS licence holder is at Master Year 1; TSE states a four-year bachelor is required for direct Year 2 entry. The international (English) track carries an additional EUR 5,500 tuition on top of the EUR 255 national registration fee, and TSE operates a EUR 5,500 fee-waiver scheme.",2026-08-16,medium
A,France,Paris,Universite Paris Dauphine-PSL,public,"Master Systemes d'information, Reseaux et Numerique (M2 parcours Big Data et Digital Economy)","Diplome de grand etablissement conferant le grade de Master, delivered by Universite PSL",Universite Paris Dauphine-PSL,EN/FR,24,120,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,https://dauphine.psl.eu/formations/masters/systemes-information-reseaux-et-numerique/m2-big-data-et-digital-economy,yes - APS temporary residence permit available to master's-level graduates,"Information-systems master with M2 specialisations in Big Data et Digital Economy and Management & IA, aligning with the applicant's business-intelligence licence. Taught in French and English over four semesters, 120 ECTS.",2026-08-16,medium
A,France,Paris,Universite Paris Dauphine-PSL,public,Master Quantitative Economics - M2 Data-Driven Decisions and Digital Economics (DDDE),Master's degree awarded by Universite Paris Dauphine-PSL (diplome conferant le grade de master),Universite Paris Dauphine-PSL,EN,12,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2026-02-23 PRIOR_CYCLE,https://dauphine.psl.eu/en/training/masters-degrees/quantitative-economics/2nd-year-of-masters-degree-data-driven-decisions-and-digital-economics/admissions,240,no,Excellent English proficiency required; specific test scores mandated according to educational background,"Selection by dossier via MyCandidature plus a 20-minute interview, held online for international candidates",no,no,"Background in economics, applied mathematics, computer science or another strongly quantitative programme",https://dauphine.psl.eu/en/training/masters-degrees/quantitative-economics/2nd-year-of-masters-degree-data-driven-decisions-and-digital-economics/admissions,yes - APS temporary residence permit available to master's-level graduates,"Direct M2 entry requires a completed Master Year 1 (60 ECTS postgraduate), so a 180-ECTS licence holder must first complete Dauphine's M1 Quantitative Economics or an equivalent M1. Fully English-taught data-driven decision-making curriculum.",2026-08-16,medium
A,France,Aix-en-Provence,Aix-Marseille Universite - Aix-Marseille School of Economics,public,"Master Econometrics, Statistics (M1 Econometrics Statistics + M2 Econometrics Data Science)",Diplome national de master delivered by Aix-Marseille Universite,Aix-Marseille School of Economics / Faculte d'Economie et de Gestion,EN,24,NOT_FOUND,NOT_FOUND,3950,https://www.campusfrance.org/en/tuition-fees-France,NOT_FOUND,NOT_FOUND,NOT_FOUND,180,NOT_FOUND,NOT_FOUND,NOT_FOUND,no,no,Quantitative economics/econometrics background; M2 entry requires a Master 1 in economics with a strong quantitative focus,https://www.amse-aixmarseille.fr/en/study/master-econometrics-statistics,yes - APS temporary residence permit available to master's-level graduates,"M1 can be followed in a full-English curriculum and the M2 Econometrics Data Science track is taught entirely in English, covering econometrics, machine learning and big data. Tuition recorded is the national non-EU differentiated master rate for 2026-2027; an AMU-specific exemption policy was not verified.",2026-08-16,low
B,France,Toulouse,Universite Toulouse - Jean Jaures (ENSAV - Ecole nationale superieure d'audiovisuel),public,"Master Cinema et audiovisuel (parcours Realisation, Production, Image, Son, VFX/Architecture-Decor, Cinema XR, Recherche Experimentation, Esthetique du cinema)",Diplome national de master delivered by Universite Toulouse - Jean Jaures,ENSAV - Ecole nationale superieure d'audiovisuel,FR,24,NOT_FOUND,September,250 PRIOR_CYCLE,https://international.univ-tlse2.fr/accueil/formation/frais-dinscription-a-luniversite,NOT_FOUND,2026-08-31 PRIOR_CYCLE,https://www.ensav.fr/inscription/,180,yes,NOT_FOUND,Applications by dossier; non-EU applicants apply through the Etudes en France procedure,NOT_FOUND,no,NOT_FOUND,https://formations.univ-toulouse.fr/fr/les-formations/master-lmd-XB/cinema-et-audiovisuel-IZSE5WJM.html,yes - APS temporary residence permit available to master's-level graduates,"France's only public national film school inside a university, with production, directing, image, sound, VFX and XR tracks matching the applicant's videography and editing practice. UT2J granted an automatic partial exemption so non-EU students paid EUR 250 instead of the EUR 3,879 differentiated master rate in 2025-2026; the 2026-2027 decision was not verified.",2026-08-16,medium
