track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence
A,Ireland,Dublin,University College Dublin,public,Business Analytics (MSc) FT - B154,"MSc, NFQ Level 9 (Irish National Framework of Qualifications)",UCD Michael Smurfit Graduate Business School,EN,12,90,September,26180,https://www.ucd.ie/courses/b154,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,GMAT or GRE may be requested at the Director's discretion,no,no,yes - degree must include quantitative techniques; MIS/maths background required for business graduates,https://www.ucd.ie/courses/b154,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Curriculum (Programming for Analytics, Statistical Methods, Business Decision Support Systems) maps directly onto the applicant's Python/SQL/Power BI and decision-support background. Fee shown is the September 2026 entry figure PRIOR_CYCLE; two academic reference forms required.",2026-08-16,high
A,Ireland,Dublin,Trinity College Dublin,public,Business Analytics and AI for Management (M.Sc.),"MSc, NFQ Level 9",Trinity Business School,EN,12,90,September,24600,https://www.tcd.ie/business/programmes/masters-programmes/msc-in-business-analytics-and-ai-for-management/fees/,NOT_FOUND,2026-05-31 PRIOR_CYCLE,https://www.tcd.ie/courses/postgraduate/courses/business-analytics-and-ai-for-management-msc/,NOT_FOUND,NOT_FOUND,Band B (Standard Entry) - see Trinity English language requirements,no,no,no,"yes - 2.1 honours degree in a quantitative subject (Economics, Engineering, Mathematics, Computer Science or Business); prior coding not required",https://www.tcd.ie/courses/postgraduate/courses/business-analytics-and-ai-for-management-msc/,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Non-EU fee published for 2027/28 (EUR 24,600), the likely target cycle. Requires a 2.1 honours degree, so the applicant's mention/GPA is the decisive unverified variable.",2026-08-16,high
A,Ireland,Dublin,Dublin City University,public,MSc in Business Analytics and Artificial Intelligence,"MSc, NFQ Level 9",DCU Business School,EN,12,NOT_FOUND,September; January,23000,https://business.dcu.ie/course/msc-in-business-analytics/,NOT_FOUND,2026-07-01 PRIOR_CYCLE,https://business.dcu.ie/course/msc-in-business-analytics/,NOT_FOUND,NOT_FOUND,DCU standard English requirements (band not stated on programme page),no,no,no,"yes - 2.1 honours in Business, Economics, Mathematics, Engineering or Computer Science (2.2 in exceptional circumstances)",https://business.dcu.ie/course/msc-in-business-analytics/,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/",January intake gives a second entry point if a September start is missed. Fee and 1 July deadline are the 2026/27 figures PRIOR_CYCLE.,2026-08-16,high
A,Ireland,Cork,University College Cork,public,MSc Business Analytics (CKL51),"MSc, NFQ Level 9",Cork University Business School,EN,12,90,September,22300,https://www.ucc.ie/en/ckl51/,NOT_FOUND,2026-06-15 PRIOR_CYCLE,https://www.ucc.ie/en/ckl51/,NOT_FOUND,conditional,University-approved English language requirements (band not stated on programme page),no,no,no,"yes - degree must include at least one quantitative module (Finance, Mathematics, Statistics, Economics, Engineering, Computer Science or Sciences)",https://www.ucc.ie/en/ckl51/,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/",Entry is a 2.2 honours primary degree (NFQ Level 8); applicants below that can be considered under Recognition of Prior Learning with three years of industry experience. Non-EU applications close 15 June or when full.,2026-08-16,high
A,Ireland,Galway,University of Galway,public,Business Analytics (MSc),"MSc, NFQ Level 9",J.E. Cairnes School of Business & Economics,EN,12,90,September,21640,https://www.universityofgalway.ie/student-fees/how-much/postgraduate-fees/,NOT_FOUND,rolling - no fixed closing date published,https://www.universityofgalway.ie/courses/taught-postgraduate-courses/business-analytics.html,NOT_FOUND,conditional,IELTS 6.5 overall with no band below 6.0 or equivalent,no,no,no,yes - qualification must include an element of quantitative techniques,https://www.universityofgalway.ie/courses/taught-postgraduate-courses/business-analytics.html,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Entry standard is an H2.1 NFQ Level 8 degree; an H2.2 is considered with two or more years of relevant work experience. Fee of EUR 21,640 is the 2026/27 international rate including levies.",2026-08-16,high
A,Ireland,Limerick,University of Limerick,public,Business Analytics - MSc,"MSc, NFQ Level 9 Major",Kemmy Business School,EN,12,NOT_FOUND,September,20400,https://www.ul.ie/study/postgraduate/business-analytics-msc,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,English Language Competency certificate required (band not stated on programme page),no,no,no,"no explicit quantitative module requirement stated; relevant disciplines listed are business, finance, economics, mathematics, engineering, computer science",https://www.ul.ie/study/postgraduate/business-analytics-msc,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Entry is a 2.2 honours bachelor at NFQ Level 8 and UL operates a Recognition of Prior Learning route. Non-EU fee EUR 20,400 per year as published on the course page.",2026-08-16,medium
A,Ireland,Maynooth,Maynooth University,public,MSc BUSINESS ANALYTICS (MH48D),"MSc, NFQ Level 9 Taught Masters",School of Business,EN,12,NOT_FOUND,September; January,18000,https://www.maynoothuniversity.ie/student-fees-grants/postgraduate/postgraduate-fees-list,NOT_FOUND,2026-08-14 PRIOR_CYCLE,https://www.maynoothuniversity.ie/study-maynooth/postgraduate-studies/courses/msc-business-analytics,NOT_FOUND,conditional,Maynooth English language requirements; criteria may differ for non-EU applicants,no,no,no,yes - degree must include quantitative techniques including the ability to undertake statistical analysis of data,https://www.maynoothuniversity.ie/study-maynooth/postgraduate-studies/courses/msc-business-analytics,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Lowest non-EU fee among the Irish public-university Track A options at EUR 18,000 for 2026/27, and entry is a 2:2 rather than a 2:1. A preparatory Autumn School in business, maths/statistics and programming runs before the September start.",2026-08-16,high
A,Ireland,Dublin,Dublin Business School,private,Master of Science (MSc) in Business Analytics,"MSc, NFQ Level 9 (QQI-accredited private college)",Dublin Business School,EN,12,90,NOT_FOUND,15575,https://www.dbs.ie/docs/default-source/fee-sheets/dbs-fees-international.pdf,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,no,NOT_FOUND,NOT_FOUND,https://www.dbs.ie/course/postgraduate/master-of-science-(msc)-in-business-analytics,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Private college; DBS degree programmes are accredited by Quality and Qualifications Ireland and the fee sheet lists this award under Masters Postgraduate Degrees - Level 9. Non-EU fee EUR 15,575 for 2026/2027; entry requirements and deadlines could not be read from the DBS site.",2026-08-16,low
B,Ireland,Dun Laoghaire,"Institute of Art, Design + Technology (IADT)",public,MA in Media Narratives (DL929),"MA, NFQ Level 9",Faculty of Design + Media,EN,12,90,September,16000,https://iadt.ie/courses/media-narratives/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,no,no,no,no,https://iadt.ie/courses/media-narratives/,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Short-form narrative production across podcast, short film and creative non-fiction, matching the applicant's videography and audio practice. Entry is a 2nd class honours degree at honours-degree level with a Recognition of Prior Learning route; classes meet two days and one evening weekly.",2026-08-16,medium
B,Ireland,Dun Laoghaire,"Institute of Art, Design + Technology (IADT)",public,MA Animation (DL931),"MA, NFQ Level 9","Department of Animation + Digital Arts, National Film School",EN,18,90,September,16000,https://iadt.ie/courses/ma-animation/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,NOT_FOUND,Applicants may be interviewed online,yes,no,no,https://iadt.ie/courses/ma-animation/,"Stamp 1G Third Level Graduate Programme: NFQ Level 9 graduates get 12 months, renewable for a further 12 (24 months max) - https://www.irishimmigration.ie/my-situation-has-changed-since-i-arrived-in-ireland/third-level-graduate-programme/","Requires an animation/art portfolio plus three short project proposals, and the cohort is capped at 12 students. Entry is an NFQ Level 8 qualification or Recognition of Prior Learning based on animation-industry experience.",2026-08-16,medium
