scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
Bourse universitaire a l'etranger (Mastere et/ou Doctorat) - bourse specifique,"Ministere de l'Enseignement Superieur et de la Recherche Scientifique (MESRS), Direction Generale des Affaires Estudiantines - Direction des Bourses et des Prets",national,European Union member states; Canada,Set annually by the ministerial circulaire; 2026-2027 circulaire n.61/25 carries separate annexes for Canada,both,tuition+stipend,9600,"Bourse de longue duree - full degree cycle, renewed annually",yes,"Reserved to Tunisian nationals. Eligibility clause at https://best.rnu.tn/bourses-universitaires/ : 'Bourses universitaires a l'etranger (Mastere et/ou Doctorat) - Il s'agit de bourses qui sont destinees aux etudiants, parmi les laureats, qui souhaitent poursuivre leurs etudes de Mastere et/ou de Doctorat a l'etranger.' EUR 800/month = EUR 600 bourse + EUR 200 pret repayable over the 10 years following graduation. MESRS also pays frais d'inscription et de scolarite, couverture sociale, assurance maladie obligatoire, permis d'etudes and titre de transport. Candidate must first be nominated by his Tunisian home institution, which submits a nominal list of top-ranked students in the specialisations named in the annual circulaire; university then runs psychological tests and a written+oral language test; ranked files go to DGAE, then an oral panel per specialisation, then the Commission Nationale des Bourses a l'Etranger (manuel de procedures, MESRS, July 2020). Universite de Tunis El Manar states the additional conditions: degree obtained one or two years earlier, degree in a specialite named in the call, no more than one repeated year, arithmetic average of at least 12/20. Signed 'Engagement de retour au territoire de la republique' and a 'caution solidaire' by a guarantor are required. Whether students of private Tunisian institutions (e.g. Esprit) may be nominated is NOT confirmed - the procedure is written around public institutions and the bourse d'alternance variant is expressly limited to 'etablissements universitaires publics'.",NOT_FOUND,before university application,via home ministry,https://best.rnu.tn/bourses-universitaires/,2026-08-16,medium
Bourse d'alternance (bourse de courte duree),"Ministere de l'Enseignement Superieur et de la Recherche Scientifique (MESRS), Direction Generale des Affaires Estudiantines",national,European Union member states; Canada,Any foreign host laboratory or institution accepted by the Tunisian doctoral school / university,both,living only,6000,Maximum 6 months per academic year,yes,"Does NOT fund a European master's degree. Eligibility clause at https://best.rnu.tn/bourses-universitaires/ : 'des bourses de courte duree (maximum 6 mois par annee universitaires) destines aux etudiants tunisiens, parmi les laureats, et qui sont inscrits dans des etablissements universitaires publics, en deuxieme annee de Mastere de recherche ou en Doctorat, ou encore les etudiants de l'annee terminale du cycle d'ingenieur.' Applicant must therefore already be enrolled in a Tunisian PUBLIC institution - private-institution students are excluded by this clause. EUR 1000/month in the EU. Quota allocated to each university by the Direction des Bourses et des Prets and distributed via the doctoral schools (manuel de procedures, MESRS, July 2020).",NOT_FOUND,after university application,via home ministry,https://best.rnu.tn/bourses-universitaires/,2026-08-16,high
Pret universitaire a l'etranger,"Ministere de l'Enseignement Superieur et de la Recherche Scientifique (MESRS), Direction des Bourses et des Prets",national,Any country of study approved by MESRS,NOT_FOUND,both,partial,NOT_FOUND,NOT_FOUND,yes,"Loan, not a grant. Eligibility clause at https://best.rnu.tn/prets-universitaires/ : parents' annual net income must not exceed a ceiling fixed by ministerial arrete; selection also weighs academic results and alignment with the ministry's priority specialisations and destinations. Amounts differ by country and are fixed by arrete ('Les montants des prets, qui different d'un pays a l'autre, sont fixes par l'arrete du ministre'). A guarantor must sign a 'cautionnement solidaire'. Repayment over a maximum of 10 years, starting two years after the final instalment. Annual call issued by the Direction des Bourses et des Prets; best.rnu.tn carries a recurring 'Appel a candidature aux etudiants tunisiens non boursiers poursuivant leurs etudes a l'etranger pour les prets universitaires', so students already abroad and non-scholarship holders may apply.",NOT_FOUND,after university application,via home ministry,https://best.rnu.tn/prets-universitaires/,2026-08-16,medium
Government Scholarships Programme Tunesia,Ministere de l'Enseignement Superieur et de la Recherche Scientifique (Tunisia); listed and administered through DAAD,bilateral,Germany,State and state-recognised universities in Germany,both,tuition+stipend,NOT_FOUND,"Up to 6 years, through to the master's degree",yes,"Eligibility clause on the DAAD scholarship database entry (Objective / Who can apply): 'The programme supports students from the Republic of Tunisia' and 'The programme is aimed at applicants with a secondary education diploma wishing to take a Bachelor or Master's degree in Germany.' Entry point is therefore the secondary-school diploma, not the licence - a 180-ECTS holder entering directly at master's level is not the stated target group and the portal's selectable applicant status is 'Undergraduates'. Value: 'Tunesia's Ministere de l'Enseignement Superieur covers ... monthly scholarship payments, one-off payment of travel expenses, payments towards health insurance cover, payment of semester fees at German universities.' Selection: 'The Ministere de l'Enseignement Superieur et Recherche Scientifique Tunis is responsible for awarding the scholarships. The most important selection criteria are the candidate's academic achievements.' DAAD Regional Office Tunis, info@daad.tn.",NOT_FOUND,before university application,via home ministry,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000344,2026-08-16,medium
Stipendium Hungaricum,"Tempus Public Foundation / Government of Hungary, under a bilateral education agreement with Tunisia",bilateral,Hungary,Hungarian higher education institutions listed in the Stipendium Hungaricum Study Finder,both,tuition+stipend,NOT_FOUND,Full degree master's programme,yes,"Tunisia is a named Sending Partner. Eligibility clause on https://stipendiumhungaricum.hu/partners/ under the Tunisia entry: 'Full degree master studies: Agricultural Sciences, Arts and Humanities, Social Science, Computer Science and Information Technology, Legal Science, Economic Science, Engineering Science, Medical and Health Science, Sport Science, Natural Science, Arts, Art Education, Political Science and Public Governance' - Track A is covered by Economic Science and Computer Science and Information Technology, Track B by Arts / Art Education / Arts and Humanities. Same entry: 'Name of responsible authority: Ministry of Higher Education and Scientific Research. Name of responsible person(s): Imed BEN ABDERRAHIM. E-mail address(es): mesrs.dgci.bourses@gmail.com. Website: http://www.mes.tn. Telephone: +216 71 841 380 Ext. 3517. Address: Av Ouled Haffouz 1030 Tunis - Tunisia. Application deadline to Sending Partner is the same as the application deadline to Tempus Public Foundation.' Two-step: online application in DreamApply (maximum 2 programme choices) AND a parallel application to the Tunisian Sending Partner, which produces the nomination list in February. Applicants must score at least 56/100 in the Hungarian institution's entrance procedure. 2026/27 timeline: deadline 15 January 2026 14:00 CET, nomination lists February 2026, entrance exams March-May 2026, results June 2026.",2026-01-15 PRIOR_CYCLE,the scholarship application IS the university application (DreamApply) - the parallel MESRS nomination file is due on the same date,apply direct (DreamApply) and via home ministry (MESRS nomination),https://stipendiumhungaricum.hu/partners/,2026-08-16,high
Borse di studio offerte dal Governo italiano a studenti stranieri e italiani residenti all'estero (IRE),"Ministero degli Affari Esteri e della Cooperazione Internazionale (MAECI), Italy",bilateral,Italy,Italian state and legally recognised universities and AFAM institutions,both,tuition+stipend,NOT_FOUND,Master's (Laurea Magistrale) and AFAM courses; renewable within the call's limits,yes,"The call is published to Tunisians by the Italian Embassy in Tunis (ambtunisi.esteri.it, March 2026 announcement of the 2026-2027 bando) and was circulated in Tunisia in the 2025-2026 cycle as 495 monthly scholarships with an age limit of 18-28 for Laurea Magistrale and 30 for doctorate, requiring an Italian language certificate at B2 except for English-taught courses (La Presse de Tunisie, 8 May 2025, reporting the MESRS-circulated offer). The official annex 'List of eligible countries and other territories' on https://studyinitaly.esteri.it/ListaBandi could not be opened, so Tunisia's presence on the country list is inferred from the Tunis embassy publication rather than read from the annex. Scholarships are valid only for courses held on Italian territory ('Scholarships are available for attending academic courses on the Italian territory only').",2026-03-26 PRIOR_CYCLE,before university application,apply direct (Study in Italy portal),https://www.esteri.it/en/servizi-opportunita/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,2026-08-16,medium
Bourses de formations internationales 2027-2028,"Academie de Recherche et d'Enseignement Superieur (ARES), Federation Wallonie-Bruxelles, Belgium",bilateral,Belgium (Federation Wallonie-Bruxelles),"Fixed ARES catalogue - for 2027-2028: 1 bachelier de specialisation, 8 masters de specialisation and 1 continuing-education certificate",both,tuition+stipend,NOT_FOUND,Duration of the specialisation master's programme,yes,"Tunisia is one of the 32 ARES partner countries listed on the call page. Blocking eligibility clauses on the same page: the applicant must be a permanent resident of and working in one of the 32 eligible countries; must hold a higher-education diploma meeting the programme's admission requirements, obtained no more than 20 years before the training starts (extended by one year per child); and must demonstrate at least two years of relevant professional occupation after graduation. Only one programme may be applied for. A 2027 graduate with no professional experience does not meet the two-year work-experience condition. The 2027-2028 catalogue of masters de specialisation was not checked programme by programme against Track A / Track B. The grant covers international travel, a subsistence allowance, visa fees, registration costs and insurance; no monetary amount is stated on the call page.",2026-09-18,before university application,apply direct (ARES GIRAF platform),https://ares-ac.be/fr/bourses-de-formations-internationales-2027-2028,2026-08-16,high
Programme de bourses en grandes ecoles francaises 2026,Institut francais de Tunisie / Ambassade de France en Tunisie,bilateral,France,French grandes ecoles d'ingenieurs ou de commerce entered through the national concours,A,living only,10530,36 months,yes,"Reserved to Tunisian nationals only - dual Franco-Tunisian nationals are excluded. Eligibility clause on the Institut francais de Tunisie call page: the candidate must be enrolled in a second-year classe preparatoire in Tunisia or in a French preparatory institution during 2025-2026, pass the entrance examinations for the French grandes ecoles in 2025-2026, and be admitted to a French engineering or business school for 2026-2027. A holder of a three-year licence cannot enter through this route. EUR 877.50 per month covering accommodation and meals, plus student health and mutual insurance; registration and tuition fees are NOT covered. Selection by a 'commission paritaire franco-tunisienne'. Dossiers must reach the Institut francais de Tunisie by 14 August 2026 at 14:00; results from 28 August 2026.",2026-08-14,after university application,apply direct (Institut francais de Tunisie),https://www.institutfrancais-tunisie.com/candidatures/bourses-detudes-en-grandes-ecoles-francaises-2026/,2026-08-16,high
Programme de bourses partenariales - niveau Master 2 recherche,"Institut francais de Tunisie / Ambassade de France en Tunisie, with MESRS",bilateral,France,French universities hosting the second year of a Master recherche under an inter-university double-diploma agreement,both,partial,NOT_FOUND,September to June of the following year (one academic year),unclear,"Open only to Tunisian nationals but with a blocking entry condition. Eligibility clause on the MESRS relay page for the 2021 call (https://best.rnu.tn/offre-de-bourses-partenariales-niveau-master-2-recherche-2021/): 'Etudiants tunisiens inscrits en deuxieme annee de formation d'ingenieur ou en premiere annee Master recherche' in Tunisia who intend to take the second year of the Master recherche at a French university under a double diploma; the candidate must hold the inter-university agreement and its specific avenant, and must have validated the first semester of Master 1. All disciplinary fields are eligible. A holder of a licence who has not started a Tunisian master cannot apply. LIVENESS NOT CONFIRMED: the last call visible on the MESRS scholarship portal timeline is 'Programme de bourses Ingenieur/Master 2 (IFT)' dated 31 May 2024; the 2025 and 2026 entries on the same timeline cover only the Ingenieur-Ingenieur programme, and the Institut francais de Tunisie page for this programme now returns 404.",NOT_FOUND,after university application,apply direct (Institut francais de Tunisie),https://best.rnu.tn/offre-de-bourses-partenariales-niveau-master-2-recherche-2021/,2026-08-16,low
Programme de bourses d'etudes Ingenieur-Ingenieur du Gouvernement francais,"Gouvernement francais / Institut francais de Tunisie, with MESRS",bilateral,France,French ecoles d'ingenieurs delivering a double ingenieur/ingenieur diploma with a Tunisian engineering school,A,partial,NOT_FOUND,22 months from September,yes,"Eligibility clause in the Campus France Tunisie programme brochure: 'Programme reserve aux eleves ingenieurs de niveau bac+4 inscrits dans une ecole d'ingenieurs en Tunisie et preparant un double diplome ingenieur / ingenieur avec une ecole d'ingenieurs francaise.' A holder of a three-year licence from a business school is outside this target group. The call is live for 2026: MESRS relayed 'Appel a candidatures - Bourses d'etudes Ingenieur-Ingenieur du Gouvernement francais' on 4 June 2026, directing candidates to the Institut francais de Tunisie. Amount and covered items were not published on either relay page and the Institut francais de Tunisie call page returned 404 at the time of checking.",NOT_FOUND,after university application,apply direct (Institut francais de Tunisie),https://best.rnu.tn/appel-a-candidatures-bourses-detudes-ingenieur-ingenieur-du-gouvernement-francais/,2026-08-16,medium
