scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
IE Business School Dean's Award,IE University,institutional,Spain,IE University - IE Business School,B,partial,25900 (70% of tuition; IE Business School master fee 37000 EUR/year),Duration of the programme,yes,"Nationality: all nationalities; country of residence: all countries. Minimum GPA 3.8/4, 4.75/5 or 9.5/10. Two awards per year (Spring and Fall intakes).",NOT_FOUND,"Granted automatically upon admission - assessed from the admission application, so the effective deadline is the programme admission round deadline",apply via university (Direct Award - no separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
IE School of Science and Technology Dean's Award,IE University,institutional,Spain,IE University - IE School of Science and Technology,A,partial,30100 (70% of tuition; IE School of Science and Technology master fee 43000 EUR/year),Duration of the programme,yes,"Nationality: all nationalities; country of residence: all countries. Minimum GPA 3.8/4, 4.75/5 or 9.5/10. One annual award.",NOT_FOUND,"Granted automatically upon admission - assessed from the admission application, so the effective deadline is the programme admission round deadline",apply via university (Direct Award - no separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
IE High Potential Award,IE University,institutional,Spain,IE University (IE Business School and IE School of Science and Technology),both,partial,NOT_FOUND (amount varies with the candidate's merit and available funding at the time of admission),Duration of the degree,yes,Nationality: all nationalities; country of residence: all countries; all programmes. Merit-based.,NOT_FOUND,Automatic - all candidates are considered by applying for admission; recipients are notified with the admission offer,apply via university (no financial aid application required),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
IE Middle East & Africa Award,IE University,institutional,Spain,IE University (IE Business School and IE School of Science and Technology),both,partial,NOT_FOUND (IE Awards cover between 10% and 40% of tuition fees),Duration of the degree,unclear,"Eligibility clause on the IE Awards page: 'These awards are available to candidates that are residing in a country that is included in the specified region (listed below) at the time of application'; nationality: all nationalities. The region country list is rendered client-side behind a 'More info' control and could not be retrieved, so Tunisia's inclusion is not confirmed. Requires outstanding academic and/or professional profile.",Programme start date (stated deadline for all IE Awards),After applying for admission - a financial aid application is required and is assessed on merit and financial need,apply via university (separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,medium
IE Technology & Innovation Award,IE University,institutional,Spain,IE University (IE Business School and IE School of Science and Technology),A,partial,NOT_FOUND (IE Awards cover between 10% and 40% of tuition fees),Duration of the degree,yes,"Nationality: all nationalities; country of residence: all countries; all programmes. Requires at least one year of relevant professional experience, interest in technology/digital business/analytics, STEM, business or social sciences background.",Programme start date (stated deadline for all IE Awards),"After applying for admission - financial aid application required, assessed on merit and financial need",apply via university (separate financial aid application),https://www.ie.edu/financial-aid/masters/awardsandscholarships/,2026-08-16,high
Esade MSc Need-based Scholarship,Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,19500-33150 (50%-85% of the 39000 EUR one-year MSc tuition fee),One-year MSc programme,yes,Clause: 'Financial aid is open to all applicants once admitted to the MSC Program' - no nationality restriction. Requires an above-average Admissions Test score and evaluation of family household financial circumstances with supporting economic documents. Not compatible with other Esade prizes or awards.,NOT_FOUND (2026-2027 scholarship call guidelines published as a PDF),After admission - open to applicants once admitted to the MSc; Esade encourages submitting the aid request together with the initial MSc application,apply via university (separate scholarship application form plus financial documentation),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
Esade MSc African Talent Award (MSc Awards for Excellence by Geographical Area),Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,3900-19500 (Excellence Awards range from 10% to 50% of the 39000 EUR MSc tuition fee; average award in the last intake was 26%),One-year MSc programme,yes,Eligibility clause under 'MSc Awards for Excellence by Geographical Area': 'African Talent Award (Candidates from African countries)'. Awarded to talented young professionals of any nationality with an outstanding academic record; special consideration for above-average GMAT/GRE. Maximum two supporting documents on academic prizes/awards. Candidates may apply for only one Excellence Award. Not compatible with other Esade prizes or awards.,2026-07-15 PRIOR_CYCLE (deadline for Excellence Award applications for the 2026 intake),Separate scholarship application submitted alongside the MSc admission application,apply via university (separate Excellence Award application),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
Esade Big Data Award (MSc Excellence Award),Esade Business School - Universitat Ramon Llull,institutional,Spain,Esade Business School - Universitat Ramon Llull,A,partial,3900-19500 (Excellence Awards range from 10% to 50% of the 39000 EUR MSc tuition fee; average award in the last intake was 26%),One-year MSc programme,yes,Open to all MSc in Business Analytics applicants who can demonstrate strong analytical skills and a passion for big data; no nationality restriction stated. Candidates may apply for only one Excellence Award.,2026-07-15 PRIOR_CYCLE (deadline for Excellence Award applications for the 2026 intake),Separate scholarship application submitted alongside the MSc admission application,apply via university (separate Excellence Award application),https://www.esade.edu/master-of-science/en/fees-and-financing,2026-08-16,high
UPF-BSM Merit Based Scholarship,UPF Barcelona School of Management - Universitat Pompeu Fabra,institutional,Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,A,partial,4625 (25% of total tuition on the 18500 EUR fee; can be increased by a further 25% - to 9250 EUR - on proven financial hardship),The master's programme,yes,"No nationality restriction stated. Requires a completed university qualification and a minimum undergraduate GPA of 3.0/4.0 (foreign transcripts must be converted via the Spanish Ministry equivalence tool), and requires admission to the master's programme before the scholarship is assessed. Not compatible with UPF or UPF-BSM Alumni discounts.","2026-06-18 (1st call); 2026-09-03 (2nd call); 2026-11-26 (3rd call, Jan-Mar 2027 starts only); 2027-01-21 (4th call, Jan-Mar 2027 starts only)",After admission - candidate must already have been admitted to the master's programme; applications after the call deadline are rejected even if classes have not started,apply via university (separate application via the eRegistrar 'Scholarships and Funding' section with motivation letter and verifiable-merits list),https://www.bsm.upf.edu/en/talent-scholarship,2026-08-16,high
UPF-BSM MSc's Scholarships,UPF Barcelona School of Management - Universitat Pompeu Fabra,institutional,Spain,UPF Barcelona School of Management - Universitat Pompeu Fabra,A,partial,4625 (25% of total tuition on the 18500 EUR fee; the Allocation Committee may exceptionally increase the percentage),The master's programme,yes,Available for all official Master of Science (master oficial) programmes at UPF-BSM. No nationality restriction stated. Requires a completed official university degree and a weighted average equivalent to at least 8/10 in the Spanish system or GPA 3.4/4.0. Cannot be applied for where credits are recognised from a previous degree or by repeating students.,NOT_FOUND (must be requested at the time of admission),At the time of the admission application - the scholarship must be requested when applying for admission,apply via university (request made within the admission application),https://www.bsm.upf.edu/en/master-of-science-scholarships,2026-08-16,medium
