scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
Stipendium Hungaricum Scholarship Programme,Government of Hungary — Ministry of Foreign Affairs and Trade / Tempus Public Foundation,bilateral,Hungary,Hungarian higher education institutions listed in the Stipendium Hungaricum Study Finder,both,tuition+stipend,"2520 (HUF 43,700/month stipend = cca EUR 110 + HUF 40,000/month accommodation contribution = cca EUR 100; source's own EUR conversion at 13 Oct 2025 rate) PRIOR_CYCLE","Full standard duration of the master's programme, 12 months per year","yes — 'Tunisian Republic' is named in the full-degree Sending Partner list, Call for Applications 2026/27, Section 2.1 'Eligible Sending Partners', p.7","Tuition-free; medical insurance up to HUF 65,000/year. No upper age limit; applicants born after 31 Aug 2008 (under 18) excluded. Language: minimum level set by host institution, generally B2 in the language of instruction. Compulsory 'Hungarian as a foreign language' course in year 1; failing the exam cuts the stipend to HUF 30,000/month. Nomination by the Tunisian Sending Partner is a hard eligibility condition — 'Applications will be considered eligible only if the responsible authorities of the Sending Partner nominate the applicant'. UNVERIFIED: depends on GPA and IELTS status (institution-set minimum entry requirements per programme)",2026-01-15 PRIOR_CYCLE,before university application — the SH application IS the admission application; applicants pick up to 2 programmes in the SH system and institutions run the entrance procedure afterwards,"apply direct + via home ministry — simultaneous submission to Tempus Public Foundation online AND to the Tunisian Sending Partner (the ministry responsible for higher education), which must nominate the applicant",https://stipendiumhungaricum.hu/wp-content/uploads/2025/10/BA_MA_OTM_Call_for_Applications_2026_27.pdf,2026-08-16,high
Banach NAWA Scholarship Programme (Program im. prof. Stefana Banacha),"Polish National Agency for Academic Exchange (NAWA) with the Ministry of Foreign Affairs, under Polish development cooperation",national,Poland,Public and other universities supervised by the Minister of Science and Higher Education that have a framework agreement with NAWA,both,tuition+stipend,"NOT_FOUND (PLN 2,500/month; PLN 30,000/year plus a one-off PLN 2,500 travel allowance — source publishes no EUR equivalent)","Second-cycle (master's) studies, max 12 months of stipend per year; Polish-track may be preceded by a funded one-year preparatory course","yes — 'Tunezja' is named in the eligible-citizenship list, Banach NAWA call announcement no. 27/2025 of 6 June 2025, sections 2.1 and 2.2 point 1; the 2026 call restates the same '36 countries covered by Polish Aid'",Exemption from tuition fees at public universities. Must hold a Bachelor's obtained no earlier than 2024 or graduate by 15 July 2026 (2026 call wording; the window moves with the cycle) and must not already hold a master's degree. Minimum B2 English for English-track (B1/B2 Polish for Polish-track). Must not hold or have applied for Polish citizenship. Self-presentation video required. Call closes early if 300 applications are received in a country group. UNVERIFIED: depends on expected graduation date and IELTS status,2026-05-08 PRIOR_CYCLE,before/parallel to university application — NAWA does not mediate admission; the applicant must independently take part in the chosen university's recruitment,apply direct — online only via the NAWA ICT system (programs.nawa.gov.pl),https://nawa.gov.pl/en/nawa/news/call-for-applications-banach-nawa-2026,2026-08-16,high
Italian Government Scholarships for Foreign Students (MAECI),Italian Ministry of Foreign Affairs and International Cooperation (MAECI / Farnesina),national,Italy,Public or legally recognised private Italian universities and AFAM institutions,both,partial,"10800 (total for the 9-month funding period, paid in 3 instalments of EUR 5,500 / 2,300 / 3,000)","9 months (1 Nov 2026 – 31 Jul 2027), potentially renewable for the second year of a Laurea Magistrale","yes — 'TUNISIA' appears in the beneficiary countries annex of the Bando 2026-2027; note separately that Tunisia also appears in the IRE list, which applies only to Italian citizens resident abroad",Age cap: must not exceed 28 by the call deadline (born on or after 27 March 1997) for Laurea Magistrale and AFAM. Language: B2 English for English-taught programmes (a fully English-taught bachelor's can substitute); B2 Italian for Italian-taught. MAECI does NOT pay tuition — Art. 9 states only that 'some universities exempt scholarship recipients'; regional fees are always payable by the student and are never refunded. Collective health insurance provided by MAECI. Selection is by citizenship and run by the Italian diplomatic mission in Tunis. UNVERIFIED: depends on expected graduation date (age cap) and IELTS status,2026-03-26 PRIOR_CYCLE,"before university application — applicants apply for the scholarship without holding an offer, but must produce an enrolment certificate before disbursement",apply direct — online only via the Study in Italy portal (studyinitaly.esteri.it); no email or paper submission,https://studyinitaly.esteri.it/listabandi,2026-08-16,high
Invest Your Talent in Italy (IYT) — 11th edition,Italian Ministry of Foreign Affairs and International Cooperation (MAECI) with ICE Agency and Uni-Italia,national,Italy,"Italian state or legally recognised institutions associated with the IYT programme, and only the master's/postgraduate courses on the IYT course list",A,tuition+stipend,"10800 (annual, paid quarterly: EUR 4,800 + EUR 3,000 + EUR 3,000)","9 months from 1 October 2026, renewable for the second year of the master's on achieving 30 credits",yes — 'Tunisia' is named in Art. 2 'Countries eligible for scholarships' of the 11th-edition call for a.y. 2026-2027,"Full exemption from enrolment fees and university contributions (Art. 9), excluding the regional right-to-education tax, stamp duty and insurance. Age cap: born on or after 1 January 2000. Certified English at B2 minimum (Cambridge, IELTS, TOEFL iBT, PTE, Linguaskill, TOEIC accepted); Italian certificate optional but scored. Compulsory internship at an Italian company. Students about to graduate are NOT eligible — the qualification must already be held at the closing date. Not open to those already studying at or holding a degree from an Italian university. 59-second video application required. Does not cover travel or accommodation; health insurance is the student's responsibility. UNVERIFIED: depends on expected graduation date and IELTS status",2026-05-11 PRIOR_CYCLE,after university application — Art. 3.2 requires a pre-admission application to an IYT-listed course to have been submitted before the IYT application; the next edition opens in 2027,apply direct — online via the IYT portal (investyourtalentapplication.esteri.it),https://investyourtalentapplication.esteri.it/SitoIYT/EN/current-call,2026-08-16,high
Bourse d'excellence France Excellence Eiffel,"French Ministry for Europe and Foreign Affairs, administered by Campus France",national,France,"French higher education institutions — the institution, not the student, submits the application",A,living only,"14400 (EUR 1,200/month at master's level from January 2026)",Up to 12 months for entry at M2; up to 24 months for entry at M1; up to 36 months for engineering diplomas,"yes — no country list is published; the scheme is nationality-neutral for non-French candidates (Campus France, 'La bourse France Excellence Eiffel' / programme presentation)","Age cap: 29 at master's level. Tuition fees are NOT covered — the programme funds a monthly allowance plus direct payment of international and domestic transport, insurance, housing search and cultural activities. Eligible fields at master's level: Biology & Health, Ecological Transition, Mathematics & Digital, Engineering Sciences, French History/Language/Civilisation, Law & Political Science, Economics & Management — Track A fits under Economics & Management or Mathematics & Digital; Track B (media production) is not among the listed priority fields. Students cannot apply themselves. UNVERIFIED: depends on expected graduation date (age cap) and GPA (institutions nominate on academic excellence)",2026-01-08 PRIOR_CYCLE,"after university application — the applicant must first be in contact with and put forward by a French institution, which files the dossier with Campus France","apply via university — only French higher education institutions may submit applications, via the Campus France platform",https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,2026-08-16,high
Development-Related Postgraduate Courses (EPOS),"DAAD (German Academic Exchange Service), funded by the German Federal Ministry for Economic Cooperation and Development",national,Germany,"State or state-recognised German universities, restricted to the courses on the DAAD EPOS postgraduate course list",A,tuition+stipend,NOT_FOUND (value section not captured on the programme entry; DAAD publishes the rate in the annual course list),Duration of the chosen EPOS master's course (typically 12–24 months),"yes — 'Tunisia' appears in the country selector on the DAAD scholarship database entry for EPOS (detail=50076777), which DAAD states is the operative filter: 'If your status and/or country is not included in the list, you cannot apply'; the entry also links a DAC country list PDF under 'Who can apply?'",HARD BLOCKER for this applicant: requires at least two years' full-time professional experience after the first degree. Restricted to the defined list of development-related postgraduate courses — a general Business Analytics or Digital Media master's is not fundable unless it appears on that list. UNVERIFIED: depends on work history and expected graduation date; the profile records no professional experience,NOT_FOUND (course-specific; DAAD publishes a deadline list for 2027/2028 as a separate PDF),before university application — EPOS applications go to DAAD and to the course; admission follows,"apply direct — DAAD portal, to the chosen EPOS course",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50076777,2026-08-16,medium
"DAAD Study Scholarships — Fine Art, Design, Visual Communication and Film","DAAD (German Academic Exchange Service), funded by the German Federal Foreign Office",national,Germany,State or state-recognised German universities and art academies of the applicant's choice,B,living only,"11904 (EUR 992/month) plus travel allowance on application, a one-off study allowance and contributions to health, accident and liability insurance",10 to 24 months — the standard period of the chosen master's/postgraduate degree; start usually 1 October of the following year,"yes — 'Tunisia' appears in the country selector on the DAAD scholarship database entry (detail=57135742), which DAAD states is the operative filter","HARD BLOCKER for this applicant: 'You can apply if you have gained a first university degree in the field of arts' — the profile's Licence is in Business Intelligence, not an arts degree. Funds a full master's/postgraduate degree leading to a final qualification, or a complementary course without a degree. Cannot fund a master's already begun in Germany. Portfolio and confirmation of supervision required for the non-degree route. DAAD does not pay tuition fees (most German public universities charge none). Applications open from 1 June; the deadline is set per country of origin. UNVERIFIED: depends on IELTS status (proof of proficiency in the language of instruction required at application)","NOT_FOUND (country-specific deadline, updated annually in Q2; applications possible from 1 June)","before university application — a DAAD Scholarship Award Letter is only valid once the applicant has been admitted to the named host university, but admission need not be held at DAAD application time",apply direct — DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-stipendiendatenbank/?status=&origin=&subjectGrps=&daad=&intention=&q=bildende%20kunst&page=1&detail=57135742,2026-08-16,high
DAAD Study Scholarships — Master Studies for All Academic Disciplines,"DAAD (German Academic Exchange Service), funded by the German Federal Foreign Office",national,Germany,State or state-recognised German universities,both,living only,"11904 (EUR 992/month) plus EUR 460 annual study allowance, insurance contributions and travel allowance on application","10 to 24 months; funding must begin in 2027, usually on 1 October 2027","no — Tunisia is absent from the country selector on the DAAD scholarship database entry (detail=50026200). The list runs Afghanistan, Albania, Andorra, Armenia, Australia, Austria, Azerbaijan, Belarus … Yemen and contains no African country; DAAD states 'If your status and/or country is not included in the list, you cannot apply for this scholarship programme'","Recorded as a negative because the cycle (funding beginning 2027, start 1 October 2027) and the terms would otherwise match this applicant exactly. Other conditions, for reference: most recent degree no more than 6 years old; not resident in Germany for more than 15 months at the deadline; proof of proficiency in the language of instruction; DAAD does not pay tuition fees. The Tunisia-open equivalents are EPOS and the artistic-disciplines scholarships, both recorded separately",NOT_FOUND (country-specific; applications possible from 1 June),"before university application — admission must be held before the funding period begins, not at DAAD application time",apply direct — DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,2026-08-16,high
Government Scholarships Programme Tunisia,"Ministère de l'Enseignement Supérieur et de la Recherche Scientifique (MESRS), Tunisia — listed and supported by DAAD",bilateral,Germany,State and state-recognised German universities,A,tuition+stipend,NOT_FOUND (source lists the benefit categories but no figures),"Up to 6 years in total, through to the award of a master's degree","yes — the programme exists solely for Tunisia: 'The programme supports students from the Republic of Tunisia', and Tunisia is the only entry in the country selector","MESRS covers monthly scholarship payments, a one-off travel payment, health insurance contributions and semester fees at German universities; MESRS alone awards the scholarships, on academic achievement. LIKELY BLOCKER: the DAAD entry describes it as 'aimed at applicants with a secondary education diploma wishing to take a Bachelor or Master's degree' and the status selector offers only 'Undergraduates' — it appears to be an entry-at-bachelor pipeline that carries through to the master's, not a direct master's-entry scheme for a licence holder. DAAD's own note on this entry adds that it was described as aimed at engineering students. UNVERIFIED: whether a 180-ECTS licence holder can enter at master's level — confirm with MESRS and the DAAD Regional Office Tunis",NOT_FOUND,"NOT_FOUND — awarding is by MESRS, ahead of German university admission","via home ministry — Ministère de l'Enseignement Supérieur et de la Recherche Scientifique, Tunis; DAAD Regional Office Tunis (info@daad.tn) advises",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=10000344,2026-08-16,medium
Government of Ireland International Education Scholarships (GOI-IES),"Department of Further and Higher Education, Research, Innovation and Science, administered by the Higher Education Authority (HEA)",national,Ireland,Eligible Irish higher education institutions; 60 scholarships awarded across all of them each year,both,tuition+stipend,10000 (stipend for one year of full-time study) plus a full tuition fee waiver provided by the host institution,One year of full-time study at NFQ level 9 or 10,"unclear — the HEA criterion is a domicile of origin outside the EU/EEA, Switzerland and the United Kingdom, which Tunisia satisfies, but a host-institution page (Trinity College Dublin) refers to a separate 'list of eligible countries' that could not be opened; no such list is published on the HEA page. Confirm with goi-ies@hea.ie before relying on it","Level: NFQ 9–10 (taught master's, postgraduate diploma, PhD). Only one year is funded, so a two-year master's is only partly covered. UNVERIFIED: depends on GPA and IELTS status — selection is by an independent academic panel",2026-03-12 PRIOR_CYCLE,after university application — a conditional or final offer of admission from an eligible Irish HEI must already be held before applying,"apply direct — HEA online portal, after the institution confirms eligibility",https://hea.ie/policy/internationalisation/goi-ies/,2026-08-16,medium
Danish Government Scholarships for highly qualified non-EU/EEA students,"Danish Ministry of Higher Education and Science, administered by the Danish universities",national,Denmark,"Danish universities, each of which selects its own recipients from a limited annual allocation",both,tuition+stipend,NOT_FOUND (amount set institution by institution; the scheme has two parts — full or partial tuition fee waivers and/or grants towards living costs),NOT_FOUND (set by the awarding institution; tied to the full-degree programme),"yes — the eligibility clause is nationality-based with no country list: 'a citizen of a country outside the EU, the European Economic Area or Switzerland' (Study in Denmark, 'Scholarships', Danish government scholarships section)","Also requires enrolment in a full-degree higher education programme and the grant of a time-limited Danish residence permit for education. Excluded: those with a legal claim to the rights of Danish citizens, certain family-reunification permit holders, and anyone eligible for Danish state education support (SU). Because universities select, terms vary — enquire at the specific institution. UNVERIFIED: depends on GPA and IELTS status (institutions select on academic merit)",NOT_FOUND (follows each university's admission deadline for non-EU applicants),"before/with university application — selection is made from the admission pool, so the admission deadline is the operative date",apply via university — no separate national application exists,https://studyindenmark.dk/study-options/scholarships,2026-08-16,medium
NL Scholarship (formerly Holland Scholarship),"Dutch Ministry of Education, Culture and Science together with participating Dutch research universities and universities of applied sciences",national,Netherlands,Participating Dutch research universities and universities of applied sciences,both,partial,"5000 (one-off, paid in the first year only — explicitly not a full-tuition scholarship)",First year of study only; not renewable,"yes — the eligibility clause is nationality-based with no country list: 'Your nationality is non-EEA' (Study in NL, NL Scholarship eligibility)","Also requires application to a full-time bachelor's or master's programme at a participating institution, that the applicant has no degree from a Dutch institution, and that the institution's own requirements are met. Award decisions and deadlines are institution-specific. UNVERIFIED: depends on GPA and IELTS status (institutions select on their own criteria)",NOT_FOUND (institution-specific; the 2026-2027 round opened 2025-11-01) PRIOR_CYCLE,before/with university application — the scholarship is applied for through the chosen institution alongside admission,apply via university,https://www.studyinnl.org/finances/holland-scholarship,2026-08-16,high
Bourses de formations internationales ARES 2027-2028,"Académie de recherche et d'enseignement supérieur (ARES), Belgium — Belgian development cooperation",bilateral,Belgium (French Community),"French Community of Belgium universities, restricted to the eight designated masters de spécialisation",neither,tuition+stipend,"NOT_FOUND (the call lists the covered items — international travel, living allowance, visa fees, registration fees, insurance — but publishes no monthly figure on this page)","Duration of the master de spécialisation (60 ECTS, one academic year)","yes — 'Tunisie' is named in the list of 32 ARES partner countries, section 'Pays éligibles' of the 2027-2028 call","TWO BLOCKERS for this applicant. (1) The applicant must be a permanent resident of and working in an eligible country, with at least two years of relevant professional experience after the last higher-education degree, obtained before the closing date. (2) None of the eight masters de spécialisation matches Track A or Track B: human rights; integrated health risk management; international and development economics; microfinance; public health sciences; food chain security management; preventive conservation and collections management; risk and disaster management in the Anthropocene. Also: the diploma must be no more than 20 years old, fluency in the language of the training must be proven, and only one programme may be applied for. UNVERIFIED: depends on work history — the profile records no professional experience",2026-09-18,before university application — the ARES application is the route into the programme; ARES handles placement in the master de spécialisation,apply direct — ARES GIRAF platform,https://ares-ac.be/fr/bourses-de-formations-internationales-2027-2028,2026-08-16,high
Becas MAEC-AECID — Programa África-Med Máster,"Agencia Española de Cooperación Internacional para el Desarrollo (AECID), Spanish Ministry of Foreign Affairs",bilateral,Spain,Spanish universities offering an official máster (máster oficial); 30 scholarships in the 2026/2027 call,A,partial,NOT_FOUND (the call refers to a 'mensualidad' plus health insurance in Spain but publishes no figure on this page),One academic year of an official master's programme,"yes — 'Túnez' is named in the eligible-country list of the África-Med Máster programme, convocatoria 2026/2027","HARD BLOCKER for this applicant: applicants must be permanent (non-temporary) public employees and must supply their hierarchical superior's authorisation to study abroad. Admission to the master's for the relevant academic year must already be held at the time of application. Spanish proficiency must be evidenced (or the language in which the master's is taught, if different). Note the Wave-1 trap: only a máster oficial qualifies, never a título propio. UNVERIFIED: depends on employment status — the profile records no public-sector employment",2026-07-15 PRIOR_CYCLE,after university application — admission to the master's must already be held when applying,apply direct — AECID Sede Electrónica (electronic registry),https://www.aecid.es/becas-para-ciudadanos-de-paises-de-america-latina-africa-y-asia,2026-08-16,medium
